sno,h,sub_h,link
1,AP youth dies in London accident,,https://timesofindia.indiatimes.com/city/vijayawada/ap-youth-dies-in-london-accident/articleshow/102221900.cms
2,Six die in Road accident near Srikalahasti,At least six persons died and one sustained injuries in a ghastly Road accident reported near Srikalahasti in the district on Sunday.,https://timesofindia.indiatimes.com/city/vijayawada/six-die-in-road-accident-near-srikalahasti/articleshow/101625559.cms
3,"Two killed, one injured as car hits two bikes in Visakhapatnam",Two people were killed and another was injured after a speeding car hit them on the Telugu Thalli flyover in Vizag on Saturday night.,https://timesofindia.indiatimes.com/city/visakhapatnam/two-killed-one-injured-as-car-hits-two-bikes-in-visakhapatnam/articleshow/101435776.cms
4,Three tribals die in Road accident,Three tribals were killed when the SUV in which they were travelling broke down at Matam Bhimavaram in Alluri Sitharama Raju district on Friday.,https://timesofindia.indiatimes.com/city/vijayawada/three-tribals-die-in-road-accident/articleshow/101060584.cms
5,Road accident claims two lives,,https://timesofindia.indiatimes.com/city/visakhapatnam/road-accident-claims-two-lives/articleshow/101230717.cms
6,"Seven killed, 18 injured as bus plunges into irrigation canal",,https://timesofindia.indiatimes.com/city/vijayawada/seven-killed-18-injured-as-bus-plunges-into-irrigation-canal/articleshow/101683109.cms
7,"6 killed, 2 injured as car rams into lorry in Andhra Pradesh's East Godavari",As many as six people were killed after the car ferrying them rammed into a parked lorry in East Godavari district of Andhra Pradesh on Monday morning.,https://timesofindia.indiatimes.com/city/vijayawada/6-killed-2-injured-as-car-rams-into-lorry-in-andhra-pradeshs-east-godavari/articleshow/100927421.cms
8,5 killed in Road accident in Konaseema,,https://timesofindia.indiatimes.com/city/vijayawada/5-killed-in-road-accident-in-konaseema/articleshow/101077407.cms
9,2 youngsters killed in Ongole Road accident,,https://timesofindia.indiatimes.com/city/vijayawada/2-youngsters-killed-in-ongole-road-accident/articleshow/101057549.cms
10,"One dies, 4 injured in accident",,https://timesofindia.indiatimes.com/city/vijayawada/one-dies-4-injured-in-accident/articleshow/101323921.cms
11,"Man, wife die in Road accident",,https://timesofindia.indiatimes.com/city/visakhapatnam/man-wife-die-in-road-accident/articleshow/100780533.cms
12,Three tribals killed in Road accident in Andhra Pradesh,,https://timesofindia.indiatimes.com/city/vijayawada/three-tribals-killed-in-road-accident-in-andhra-pradesh/articleshow/101050046.cms
13,Road condition does not influence accidents: Study,,https://timesofindia.indiatimes.com/city/visakhapatnam/road-condition-does-not-influence-accidents-study/articleshow/101077318.cms
14,5-year-old boy killed in ghat Road accident,"A five-year-old boy, S Vishal Teja of Gokiri village in Koyyuru mandal, was killed and six others were injured when an auto-rickshaw in which they were travelling plunged into the valley at Teppala Mamidi in Alluri district on Wednesday.",https://timesofindia.indiatimes.com/city/visakhapatnam/5-year-old-boy-killed-in-ghat-road-accident/articleshow/101006297.cms
