sno,h,sub_h,link
1,Three killed in Tinsukia Road accident,,https://timesofindia.indiatimes.com/city/guwahati/three-killed-in-tinsukia-road-accident/articleshow/101094321.cms
2,Assam: Two killed in Tinsukia Road accident,"Two persons, identified as Sukalyan Baruah (22) and Ripunjoy Phukan (28), died on the spot.",https://timesofindia.indiatimes.com/city/guwahati/assam-two-killed-in-tinsukia-road-accident/articleshow/101176285.cms
3,"7 students of Assam Engineering College killed, 5 injured in Road accident in Guwahati's Jalukbari","As many as seven students were killed while a few others sustained injuries in a Road accident that happened at Jalukbari area in Assam's Guwahati late on Sunday night, said police.",https://timesofindia.indiatimes.com/city/guwahati/7-students-killed-few-injured-in-road-accident-in-guwahatis-jalukbari/articleshow/100579920.cms
4,Assam: Woman cop who nabbed fiance killed in Road accident,"A woman sub-inspector of Assam Police, who was in the news last year for arresting her fiance months before wedding for allegedly duping huge funds from two contractors in Majuli, was killed in a Road accident under mysterious circumstances in Nagaon district after her car allegedly collided with a truck on NH-37 early on Tuesday, the police said.",https://timesofindia.indiatimes.com/city/guwahati/woman-cop-who-nabbed-fiance-killed-in-assam-road-accident/articleshow/100288809.cms
5,"3 killed, 7 injured in S Assam accidents",,https://timesofindia.indiatimes.com/city/guwahati/3-killed-7-injured-in-s-assam-accidents/articleshow/101058014.cms
6,Seven students killed in Guwahati Road accident,,https://timesofindia.indiatimes.com/city/guwahati/seven-students-killed-in-guwahati-road-accident/articleshow/100609131.cms
7,3 of Nepalese family die in Sadiya Road accident,,https://timesofindia.indiatimes.com/city/guwahati/3-of-nepalese-family-die-in-sadiya-road-accident/articleshow/100264892.cms
8,Rs 2 lakh each for kin of 3 Road accident victims at Dikom,The state government has announced financial assistance of Rs 2 lakh each to the families of the Road accident victims at Dikom in Dibrugarh district.,https://timesofindia.indiatimes.com/city/guwahati/2l-each-for-kin-of-3-road-accident-victims-at-dikom/articleshow/99422368.cms
9,"Villagers block road, protest after youth dies in accident in Assam's Cachar",Villagers of Dhumkar at Kalain locality in Cachar district staged a protest on Saturday against the death of a youth in a Road accident on Friday by blocking the Silchar-Kalain road for four hours.,https://timesofindia.indiatimes.com/city/guwahati/villagers-block-road-protest-after-youth-dies-in-accident/articleshow/99004937.cms
10,"2 killed, 5 injured in Road accident in Assam’s Dhubri district","Two girls were killed and five others injured in a Road accident in Assam’s Dhubri district, police said on Thursday.",https://timesofindia.indiatimes.com/city/guwahati/2-killed-5-injured-in-road-accident-in-assams-dhubri-district/articleshow/97358451.cms
11,Over 250 hurt in Road accidents in state during Holi,,https://timesofindia.indiatimes.com/city/guwahati/over-250-hurt-in-road-accidents-in-state-during-holi/articleshow/98531484.cms
12,"Seven killed, four injured in Road accidents in Assam","At least seven people were killed and four injured in separate Road accidents in different parts of Assam on Thursday, police said.",https://timesofindia.indiatimes.com/city/guwahati/seven-killed-four-injured-in-road-accidents-in-assam/articleshow/95580044.cms
13,5 on way to attend wedding die in Nagaon Road accident,"Five youths going to attend a wedding ceremony were killed in a Road accident after their vehicle hit a truck at Hatiakhuwa in Nagaon on Monday night. The deceased have been identified as Bibek Das (26), Sanjai Das (26), Samir Paul (25), Bibek Sharma (26) and Sandeep Paul (26).",https://timesofindia.indiatimes.com/city/guwahati/5-on-way-to-attend-wedding-die-in-nagaon-road-accident/articleshow/95701734.cms
14,3 IIIT-Guwahati students die in Kamrup Road accident,"Three students of the Indian Institute of Information Technology, Guwahati (IIIT-G), died in a Road accident while they were returning from a picnic spot in Chandubi, located on the outskirts of the city.",https://timesofindia.indiatimes.com/city/guwahati/3-iiit-g-students-die-in-kamrup-road-accident/articleshow/94467278.cms
15,Three IIIT-Guwahati students killed in Road accident,"Three students of Indian Institute of Information Technology Guwahati (IIIT-G) died when the car, in which they were travelling, rolled over and fell into a nearby field.",https://timesofindia.indiatimes.com/city/guwahati/three-iiit-guwahati-students-killed-in-road-accident/articleshow/94448579.cms
16,Assam records 19% rise in Road accidents during Puja,"Assam reported a nearly 19% rise in Road accidents during Durga Puja from October 1 to Thursday, compared to last year.The festival was celebrated without any Covid-19 restriction after a gap of two years, which itself explains why the state witnessed a sharp rise in accidents.",https://timesofindia.indiatimes.com/city/guwahati/assam-records-19-rise-in-road-accidents-during-puja/articleshow/94694118.cms
17,3 killed in Mizoram Road accident,"Three residents of Assam’s Cachar district were killed in a Road accident in Mizoram on Sunday night. Sources said the victims were returning home to celebrate Eid.The deceased persons have been identified as Jalil Uddin Laskar (50), Ramiz Uddin (26) and Ripon Uddin Laskar (21).",https://timesofindia.indiatimes.com/city/guwahati/3-killed-in-mizoram-road-accident/articleshow/91273518.cms
18,"1 dead, three injured in Assam Road accident","A woman was killed and three persons, including an elderly woman, suffered injuries after a car in which they were travelling rammed into a bridge on the East-West corridor at Dolu in Borkhola of Cachar district on Friday night.",https://timesofindia.indiatimes.com/city/guwahati/1-dead-three-injured-in-assam-road-accident/articleshow/89694790.cms
19,"Assam: 3 Sipajhar friends, who died in Road accident, pass board exams","On a day, the education department in Assam declared its class X board exam results, a pall of gloom descended in bustling Sipajhar town, as three boys, who died in a horrific Road accident on May 24, had easily cleared the exams.",https://timesofindia.indiatimes.com/city/guwahati/3-sipajhar-friends-who-died-in-road-accident-pass-board-exams/articleshow/92071460.cms
20,Assam: Nine killed as autorickshaw collides with truck in Karimganj,"Nine passengers, all teenagers, died on the spot on Thursday morning when the autorickshaw in which they were travelling collided with a truck at Baithakhal on NH-8 in Karimganj district, Assam.",https://timesofindia.indiatimes.com/city/guwahati/assam-nine-killed-as-autorickshaw-collides-with-truck-in-karimganj/articleshow/87641138.cms
