sno,h,sub_h,link
1,45-year-old woman dies in accident on Ara-Arwal Road,A 45-year-old woman died in a Road accident near Jamuni Tola on the Ara-Arwal Road when she was going to relieve herself in the field on Monday morning.,https://timesofindia.indiatimes.com/city/patna/45-year-old-woman-dies-in-accident-on-ara-arwal-road/articleshow/102295654.cms
2,5 of a wedding party die in Road accident,Five members of a wedding party died on the spot and nine others were injured when the car in which they were travelling rammed into a stationary truck on a highway near Maranga police station in Purnia district on Saturday.,https://timesofindia.indiatimes.com/city/patna/5-of-a-wedding-party-die-in-road-accident/articleshow/100735667.cms
3,3 of family die in Road accident,,https://timesofindia.indiatimes.com/city/patna/3-of-family-die-in-road-accident/articleshow/100952450.cms
4,Three die in Road accident in Samastipur,Three persons died and three others were severely injured while returning from a wedding procession under Singhia police station area in Samastipur district Saturday night.,https://timesofindia.indiatimes.com/city/patna/three-die-in-road-accident-in-samastipur/articleshow/100926018.cms
5,"1 dead, ASP among four injured in Road accident in Patna","A 20-year-old youth died on the spot while four policemen, including Paliganj ASP Awadhesh Saroj Dixit, were injured in a major accident on the highway connecting Bikram to Paliganj, in Patna district on Saturday. The accident took place around 11:30am when Dixit along with other cops was travelling in his official vehicle. The deceased was identified as Vimlesh Kumar of Faridpur village under Naubatpur police station area.",https://timesofindia.indiatimes.com/city/patna/1-dead-asp-among-four-injured-in-road-accident-in-patna/articleshow/101248759.cms
6,42% of Road accidents in state took place on nat'l highways last yr: ADG,ADG (headquarters) JS Gangwar on Monday said that 42.6% of the total Road accidents took place alone on national highways in 2022.,https://timesofindia.indiatimes.com/city/patna/42-of-road-accidents-in-state-took-place-on-natl-highways-last-yr-adg/articleshow/100262246.cms
7,"Five of a wedding party dead, 9 injured after car rams into truck near Bihar's Purnia",Five members of a wedding party died on the spot and nine others injured when a car in which they were travelling rammed into a stationary truck on a highway near Maranga police station in Purnia district on Saturday.,https://timesofindia.indiatimes.com/city/patna/five-of-wedding-party-dead-9-injured-after-car-ramms-into-truck-near-bihars-purnia/articleshow/100732053.cms
8,Bihar: Five die in Arwal Road accident,"Five persons died on the spot while several others sustained injuries in a Road accident near Khokhri village in Arwal district Friday night. The deceased were travelling in an autorickshaw, which collided head-on with a truck near the Khokhri Mor.",https://timesofindia.indiatimes.com/city/patna/bihar-five-die-in-arwal-road-accident/articleshow/100023905.cms
9,Good Samaritans feted for helping accident victims,"District magistrate (DM) Chandrashekhar Singh on Thursday honoured 12 Good Samaritans for rushing the victims of Road accidents to hospitals in ‘golden hour’ and saving their precious lives. They were awarded with Rs 5000 cash, a citation and a shawl each.",https://timesofindia.indiatimes.com/city/patna/good-samaritans-feted-for-helping-accident-victims/articleshow/100516375.cms
10,"4 people, 150 sheep killed in accident involving two trucks in Maharashtra's Hingoli district","Four people and 150 sheep were killed after a truck carrying the animals hit another truck in Maharashtra's Hingoli district early on Thursday, a police officer said. The accident took place at Malegaon phata on Nanded-Kalamnuri road at around 4am, he said, adding that traffic movement on the route was disrupted for some time.",https://timesofindia.indiatimes.com/city/aurangabad/4-people-150-sheep-killed-in-accident-involving-two-trucks-in-maharashtras-hingoli-district/articleshow/100501873.cms
11,"12% jump in Road accidents, fatalities up by 16% in Bihar",Fatalities due to Road accidents in the state started showing upward trend after a decline in 2020 because of travel restrictions owing to Covid-19 pandemic.,https://timesofindia.indiatimes.com/city/patna/12-jump-in-road-accidents-fatalities-up-by-16-in-bihar/articleshow/98643972.cms
12,"Road accidents claim 15 lives in Bihar in 48 hours, many hurt","At least 15 people were killed and several others injured in separate Road accidents in Vaishali, Jamui, Saharsa, Purnia, Araria, Munger and Kishanganj districts in the last 48 hours.",https://timesofindia.indiatimes.com/city/patna/road-accidents-claim-15-lives-in-bihar-in-48-hours-many-hurt/articleshow/98529114.cms
13,"5 dead, 8 injured in truck-auto collision in Maharashtra's Nanded district","Five persons were killed and eight were injured in a collision between a truck and an autorickshaw in Maharashtra's Nanded district on Thursday, an official said.",https://timesofindia.indiatimes.com/city/aurangabad/5-dead-8-injured-in-truck-auto-collision-in-maharashtras-nanded-district/articleshow/99123078.cms
