sno,h,sub_h,link
1,"Del woman, grandson killed in Road accident",,https://timesofindia.indiatimes.com/city/chandigarh/del-woman-grandson-killed-in-road-accident/articleshow/101077569.cms
2,3 killed in two separate road mishaps in Kharar,,https://timesofindia.indiatimes.com/city/chandigarh/3-killed-in-two-separate-road-mishaps-in-kharar/articleshow/101006569.cms
3,Two bikers killed in accidents in Mohali,,https://timesofindia.indiatimes.com/city/chandigarh/two-bikers-killed-in-accidents-in-mohali/articleshow/100863366.cms
4,"Four killed, 14 injured in Road accident in Haryana's Panipat","The deceased have been identified as Kanta and Munni of Kamach Khera village, Mohit of Madanpur village in Hisar and Ashwini of Lajwana village in Jind.",https://timesofindia.indiatimes.com/city/chandigarh/four-killed-14-injured-in-road-accident-in-haryanas-panipat/articleshow/100726397.cms
5,Ex-rly official among two killed in Road accidents,,https://timesofindia.indiatimes.com/city/chandigarh/ex-rly-official-among-two-killed-in-road-accidents/articleshow/100407236.cms
6,45-yr-old killed in Road accident,,https://timesofindia.indiatimes.com/city/chandigarh/45-yr-old-killed-in-road-accident/articleshow/99654931.cms
7,Lok Adalat settles ₹3 crore claim in Road accident case,,https://timesofindia.indiatimes.com/city/chandigarh/lok-adalat-settles-3-crore-claim-in-road-accident-case/articleshow/100221090.cms
8,Pregnant woman killed in Road accident in Mohali,A pregnant woman died when a car she was travelling in collided with a stationary truck on the Kharar-Landran highway in Mohali on Wednesday.,https://timesofindia.indiatimes.com/city/chandigarh/pregnant-woman-killed-in-road-accident-in-mohali/articleshow/99098909.cms
9,Auto driver booked after Road accident,,https://timesofindia.indiatimes.com/city/chandigarh/auto-driver-booked-after-road-accident/articleshow/99394165.cms
10,Not justified to hold driver guilty of offence involving moral turpitude in accidents: Punjab and Haryana high court,"The Punjab and Haryana high court has made it clear that in the case of Road accidents, it would not be justified to hold that the driver is guilty of an offence involving moral turpitude.",https://timesofindia.indiatimes.com/city/chandigarh/not-justified-to-hold-driver-guilty-of-offence-involving-moral-turpitude-in-accidents-hc/articleshow/99528361.cms
11,5 killed in Road accidents,,https://timesofindia.indiatimes.com/city/chandigarh/5-killed-in-road-accidents/articleshow/98137520.cms
12,"Man, son die in Road accident",,https://timesofindia.indiatimes.com/city/chandigarh/man-son-die-in-road-accident/articleshow/97633491.cms
13,4 killed in Road accident,"After a speeding SUV hit a group of bicyclists on a road in Punjab's Sangrur district late Thursday evening, four people died and three others were injured. The fourth victim was a resident of Thuhi village in Nabha district. Police officials say the body of one victim was found in the fields on Friday morning, while two others were declared dead by doctors at Sangrur Hospital on Thursday night. One victim was referred to an Institute in Patiala where he succumbed to injuries. Around 417,000 domestic consumers of the Patiala district alone got a relief of Rs. 19620 crore as they got zero electricity bills. Minister of Finance, Harpal Singh Cheema, directed the officials to resolve the grievances of the people on priority, besides completing all the ongoing projects in a time bound manner.",https://timesofindia.indiatimes.com/city/chandigarh/4-killed-in-road-accident/articleshow/96635669.cms
14,Former Tripura CM Biplab Deb escapes unhurt in car crash in Haryana's Panipat,"Former Tripura chief minister and BJP leader Biplab Kumar Deb on Monday escaped unhurt after his car rammed into a stationary vehicle on the GT road in Haryana's Panipat district, police said.",https://timesofindia.indiatimes.com/city/chandigarh/former-tripura-cm-biplab-deb-escapes-unhurt-in-car-crash-in-haryanas-panipat/articleshow/98096146.cms
15,"Road accidents claim 4,604 lives in Haryana in 2022","As many as 10,083 accidents were reported and 4,604 people were killed in Road accidents in 2022 (till November) in the state, according to the data compiled by the Integrated Road accident Database (iRAD), an initiative of the ministry of road transport and highways.",https://timesofindia.indiatimes.com/city/chandigarh/road-accidents-claim-4604-lives-in-haryana-in-2022/articleshow/96320567.cms
16,13 people lost their lives daily in Road accidents across Punjab in 2021,"On an average, 13 people lost their lives daily in Road accidents across Punjab in 2021 – an increase of 17.7% as compared to 2020. The state registered 5,871 Road accidents, in which 4,589 people lost their lives and 2,032 were seriously injured.",https://timesofindia.indiatimes.com/city/chandigarh/13-people-lost-their-lives-daily-in-road-accidents-across-punjab-in-2021/articleshow/96358682.cms
17,Haryana to initiate special drive to identify new accident-prone areas,The Haryana traffic police is all set to have a fresh look into the accident-prone dark spots and to identify new dark spots to prevent Road accidents in the state.,https://timesofindia.indiatimes.com/city/chandigarh/haryana-to-initiate-special-drive-to-identify-new-accident-prone-areas/articleshow/96915593.cms
18,Road accidents snuff out 3 lives,"A 21-year-old man was killed after an SUV collided with a car on Kharar-Landran road in the early hours of Monday, one of the three victims in Road accidents in the last 24 hours.The victim is Kunwar Raj Singh of Pathankot. He studied in a college in Chandigarh.",https://timesofindia.indiatimes.com/city/chandigarh/road-accidents-snuff-out-3-lives/articleshow/96186813.cms
19,5 die as Sirsa crash splits car into two,"A five-person car crash killed two infants and their mother and two other people on Monday. The car broke into two pieces and rolled over into a tree. The victims were identified as two-month-old baby Aarti and her mother Shabnam, and Parvati Saraswati and driver Vikram, all residents of Mehnakhera village in Sirsa. The accident occurred when the car's driver lost control of the car and it careened off the road at high speed and rammed into a tree. Fatal s are becoming common in Hisar, according to Haryana Deputy Chief Minister Dushyant Chautala.",https://timesofindia.indiatimes.com/city/chandigarh/5-die-as-sirsa-crash-splits-car-into-two/articleshow/96697292.cms
20,4 students die in Jal car accident,"Two students died in a car accident near Beas village on Sunday when their car jumped to the other side of the Jalandhar-Pathankot National Highway and hit a truck head-on. They were on the way from Pathankot to the College of Veterinary Sciences in Rampura Phul in Bathinda district. The car went out of control and jumped the median, rammed the truck at Alawalpur Police Post Officer in Charge Pritpal Singh said. ""Two students died on the spot while two including a girl succumbed to their injuries in a hospital,"" he said. The car driver, Ajay Kumar, was injured and the victims included Shelija Guleria, Simran Singh, Lokesh, and Rohan, all from different areas of Pathankot.",https://timesofindia.indiatimes.com/city/chandigarh/4-students-die-in-jal-car-accident/articleshow/96672223.cms
21,"1 dies, 1 injured in Road accident","One person died while his younger brother who was driving the scooter got badly injured after a tipper truck, which was coming from the opposite direction hit their vehicle near Pinjore garden on Saturday late at night. Police registered a case.",https://timesofindia.indiatimes.com/city/chandigarh/1-dies-1-injured-in-road-accident/articleshow/95649160.cms
22,Average 13 people in Punjab lost lives daily in Road accidents in 2021,,https://timesofindia.indiatimes.com/city/chandigarh/average-13-people-in-punjab-lost-lives-daily-in-road-accidents-in-2021/articleshow/96351124.cms
23,Road crash deaths to be cut by 50%: Min,Punjab transport minister Laljit Singh Bhullar on Wednesday set a target of reducing mortality rate in Road accidents by 50%.,https://timesofindia.indiatimes.com/city/chandigarh/road-crash-deaths-to-be-cut-by-50-min/articleshow/96240619.cms
24,‘Sarkar ki galti hai’: Diljit on singer’s killing,"Singer-actor Diljit Dosanjh, in a recent interview, has blamed the government and politics for the May 29 killing of fellow entertainer Sidhu Moose Wala.",https://timesofindia.indiatimes.com/city/chandigarh/sarkar-ki-galti-hai-diljit-on-singers-killing/articleshow/95990483.cms
25,Mohali: Three killed in separate Road accidents,"Two motorcycle riders lost their lives in separate Road accidents in the past 24 hours in Mohali. In the first incident of hit and run, a motorcycle rider, identified as Gurchand Singh (50), was killed after his motorcycle was hit by a speeding car.",https://timesofindia.indiatimes.com/city/chandigarh/mohali-three-killed-in-separate-road-accidents/articleshow/94953305.cms
26,"On average, 22 people get killed every month in Mohali Road accidents","On average, 22 lives are lost every month due to accidents on Mohali roads. In the last three years, 807 people lost their lives in various Road accidents reported in the Mohali area.",https://timesofindia.indiatimes.com/city/chandigarh/on-average-22-people-get-killed-every-month-in-mohali-road-accidents/articleshow/95569257.cms
27,"Couple, woman killed in Pkl Road accidents","Three people were killed in two Road accidents in Panchkula in 24 hours. A couple identified as Tilak Raj Sharma (73) and Suchita Sahajpal (69), both residents of Pinjore, died after their scooty was allegedly hit by an oil tanker near Chandimandir toll plaza.",https://timesofindia.indiatimes.com/city/chandigarh/couple-woman-killed-in-pkl-road-accidents/articleshow/94108982.cms
28,Teen killed in Road accident,chandigarh a 15yearold girl died after an unknown vehicle hit her in nayagaon on tuesday night lavanya of nayagaon was walking back home when the accident took place around 330 pm said her family members who came to know about the accident later pgi staff told them that a woman got lavanya admitted to the hospital where she succumbed to its injuries the family members but the...,https://timesofindia.indiatimes.com/city/chandigarh/teen-killed-in-road-accident/articleshow/92559570.cms
29,"Road accidents: Punjab to engage social, academic institutions","The Punjab government has decided to engage expert organisations, universities, colleges, NGOs and registered societies for assisting in efforts to save lives in Road accidents in the state.",https://timesofindia.indiatimes.com/city/chandigarh/road-accidents-pb-to-engage-social-academic-institutions/articleshow/94291749.cms
30,Three of family killed in Road accident on Phagwara-Chandigarh NH,"CCTV footage of the accident clearly showed trailer coming from Banga on the other side of the road suddenly took a turn without even properly slowing down, when two cars going towards Banga rammed into it.",https://timesofindia.indiatimes.com/city/chandigarh/three-of-family-killed-in-road-accident-on-phagwara-chandigarh-nh/articleshow/94159921.cms
31,2 injured in Road accidents,"Two persons, including a cyclist were injured after being hit by two different cars in Chandigarh. The first case was registered on the complaint of constable Rakesh Kumar, posted at Sector 3 police station.",https://timesofindia.indiatimes.com/city/chandigarh/2-injured-in-road-accidents/articleshow/91454024.cms
32,"Haryana: Cop beaten, uniform torn after Road accident in Ambala, case registered",,https://timesofindia.indiatimes.com/city/chandigarh/haryana-cop-beaten-uniform-torn-after-road-accident-in-ambala-case-registered/articleshow/94924962.cms
33,Siblings hurt in Road accident,"A 17-year-old girl and her 15-year-old brother were injured after a car hit them near Samadhi Gate in Manimajra, sources said here on Tuesday.",https://timesofindia.indiatimes.com/city/chandigarh/siblings-hurt-in-road-accident/articleshow/89933580.cms
34,Punjab: 3 members of family killed in Road accident in Tanda,"The incident happened when the car in which they were travelling rammed into a parapet of a culvert near Focal Point, Tanda, about 34 Kms from Hoshiarpur, they said. Those who died in the accident hailed from Jalandhar.",https://timesofindia.indiatimes.com/city/chandigarh/punjab-3-members-of-family-killed-in-road-accident-in-tanda/articleshow/92654484.cms
35,Five members of family killed in Road accident in Punjab's Kapurthala,"Five members of a family, all residents of Ludhiana, died in a Road accident on Jalandhar-Amritsar national highway near Hamira village here on Monday, police said.",https://timesofindia.indiatimes.com/city/chandigarh/five-members-of-family-killed-in-road-accident-in-punjabs-kapurthala/articleshow/92344741.cms
36,Punjab: Mother-son duo among 3 killed in Road accidents,A woman and her 4-year-old son were among three killed in two Road accidents in Mohali district.,https://timesofindia.indiatimes.com/city/chandigarh/punjab-mother-son-duo-among-3-killed-in-road-accidents/articleshow/92886767.cms
37,"Haryana: 3 killed, 15 injured as truck runs over sleeping migrants in Jhajjar",At least three labourers were killed and fifteen others sustained injuries after a speeding truck ran over them on Kundli-Manesar-Palwal (KMP) expressway near Asoda toll plaza in Bahadurgarh in Haryana's Jhajjar district on Thursday morning.,https://timesofindia.indiatimes.com/city/chandigarh/haryana-3-killed-11-injured-as-truck-runs-over-sleeping-migrants-in-jhajjar/articleshow/91656829.cms
38,3 killed in Road accidents,,https://timesofindia.indiatimes.com/city/chandigarh/3-killed-in-road-accidents/articleshow/88017082.cms
39,"6 of family killed, 17 others injured in Jind Road accident","Six members of a family were killed and 17 others injured when the vehicle they were travelling in collided with a truck near Kandela village in Haryana’s Jind district road on Tuesday, reports Vijender Kumar.",https://timesofindia.indiatimes.com/city/chandigarh/6-of-family-killed-17-others-injured-in-jind-road-accident/articleshow/91775995.cms
40,Haryana: 5 of family killed in Road accident on Delhi-Jaipur Highway,"Five members of a family, including two women, were killed and 11 others were injured after their vehicle collided with a parked truck on the Delhi-Jaipur highway near Odhi village in Haryana's Rewari on Tuesday.",https://timesofindia.indiatimes.com/city/chandigarh/haryana-5-dead-7-injured-in-road-accident-on-delhi-jaipur-highway/articleshow/91616762.cms
41,10-12 deaths daily in Road accidents in state: DGP,"Punjab DGP V K Bhawra said on Monday that on an average daily, Punjab lost 11-12 lives in Road accidents, the majority of which could be prevented or reduced in severity by focusing on moving traffic violations.",https://timesofindia.indiatimes.com/city/chandigarh/10-12-deaths-daily-in-road-accidents-in-state-dgp/articleshow/90652242.cms
42,25-yr-old killed in Road accident,,https://timesofindia.indiatimes.com/city/chandigarh/25-yr-old-killed-in-road-accident/articleshow/84248266.cms
43,Haryana: Two women killed in Road accident,Two women were killed in a Road accident while their scooty got imbalanced near Shahpur village on Kaithal road due to speed breaker and a speeding truck coming from back the side crushed them leaving death of both on the spot here in Jind district on Saturday.,https://timesofindia.indiatimes.com/city/chandigarh/2-women-killed-in-road-accident/articleshow/84105669.cms
44,Six killed in Road accident in Punjab's Mansa,"Six people including two children were killed after a car collided head-on with a private bus coming from an opposite direction on Mansa-Barnala road in Punjab on Wednesday, police said.",https://timesofindia.indiatimes.com/city/chandigarh/six-killed-in-road-accident-in-punjabs-mansa/articleshow/83997511.cms
45,"Punjabi actor Deep Sidhu, accused in Red Fort violence case, dies in Road accident","Punjabi actor turned farmer activist Deep Sidhu died in a Road accident near Sonipat in Haryana, confirmed police. Deep Sidhu had also been involved in a Republic Day violence case in 2021.",https://timesofindia.indiatimes.com/city/chandigarh/punjabi-actor-deep-sidhu-accused-in-red-fort-violence-case-dies-in-road-accident/articleshow/89599303.cms
46,"Haryana: 2 killed, 3 injured in Road accidents in Karnal",Two persons were killed and three others sustained injuries in two different Road accidents in Karnal.,https://timesofindia.indiatimes.com/city/chandigarh/2-killed-3-injured-in-road-accidents-in-karnal/articleshow/82347601.cms
47,Himachal Pradesh: 10 killed in Sirmaur Road accident,"Wedding festivities turned into mourning in Sirmaur district of Himachal Pradesh on Monday evening when 10 persons, part of a marriage procession, were killed and two injured in a Road accident. A vehicle carrying ‘barrat’ veered off the road and fell into a gorge at a place called Pashog on Timbi-Bakras link road under sub-division Shillai.",https://timesofindia.indiatimes.com/city/chandigarh/10-killed-in-sirmaur-road-accident/articleshow/83935899.cms
48,Punjab: 3 Congress workers killed in Road accident in Moga,Three Congress workers from Zira in district Ferozepur died in a Road accident when the bus they were travelling in collided head on with State roadways bus near village Lohara in district Moga on Friday morning.,https://timesofindia.indiatimes.com/city/chandigarh/punjab-3-congress-workers-killed-in-road-accident-in-moga/articleshow/84668447.cms
49,Punjabi singer Diljan killed in Road accident,,https://timesofindia.indiatimes.com/city/chandigarh/punjabi-singer-diljan-killed-in-road-accident/articleshow/81767793.cms
50,Two Punjab farmers returning from Delhi protest killed in Road accident,"Two Punjab farmers who were returning to Patiala from a protest site near Delhi's borders were killed in an early morning accident on Tuesday after their tractor trolley was hit by a truck in Haryana's Karnal district, police said.",https://timesofindia.indiatimes.com/city/chandigarh/two-punjab-farmers-returning-from-delhi-protest-killed-in-road-accident/articleshow/79735705.cms
51,2 injured in Road accident,,https://timesofindia.indiatimes.com/city/chandigarh/2-injured-in-road-accident/articleshow/78082875.cms
52,Punjab: Protesters block national highway near Jalandhar after woman dies in Road accident,The national highway near Jalandhar in Punjab was blocked on Monday after a woman was killed in a Road accident.,https://timesofindia.indiatimes.com/city/chandigarh/punjab-crowd-blocks-national-highway-near-jalandhar-after-woman-dies-in-road-accident/articleshow/87106225.cms
53,"Chandigarh: After killing wife, man dies as his car hits truck","Just a few hours after a man allegedly murdered his 32-year-old wife at their rented accommodation in Sunny Enclave, Kharar, he was killed in a Road accident in Chandigarh in the early hours of Friday.",https://timesofindia.indiatimes.com/city/chandigarh/after-killing-wife-man-dies-as-his-car-hits-truck/articleshow/80712696.cms
54,"6 die in accidents, 8 others injured",Six persons died and eight others sustained injuries in two Road accidents in Karnal and Yamunanagar on Wednesday.,https://timesofindia.indiatimes.com/city/chandigarh/6-die-in-accidents-8-others-injured/articleshow/79767500.cms
