sno,h,sub_h,link
1,Contract worker dies in accident on way to home from protest,,https://timesofindia.indiatimes.com/city/raipur/contract-worker-dies-in-accident-on-way-to-home-from-protest/articleshow/102242890.cms
2,Over dozen school students hurt in Jashpur Road accident,,https://timesofindia.indiatimes.com/city/raipur/over-dozen-school-students-hurt-in-jashpur-road-accident/articleshow/102048970.cms
3,26 injured as bus rams into bridge in Chhattisgarh's Raigarh,"According to officials, the incident took place after the bus driver allegedly lost control and ended up ramming the vehicle into the parapet wall of the bridge.",https://timesofindia.indiatimes.com/city/raipur/26-injured-as-bus-rams-into-bridge-in-chhattisgarhs-raigarh/articleshow/101097252.cms
4,Two killed in Surajpur Road accident,,https://timesofindia.indiatimes.com/city/raipur/two-killed-in-surajpur-road-accident/articleshow/100908649.cms
5,Youth killed in bike-pickup truck collision,,https://timesofindia.indiatimes.com/city/raipur/youth-killed-in-bike-pickup-truck-collision/articleshow/101408146.cms
6,"YouTuber, known for 'Dil se bura lagta hai', dies in Road accident",,https://timesofindia.indiatimes.com/city/raipur/youtuber-known-for-dil-se-bura-lagta-hai-dies-in-road-accident/articleshow/101293579.cms
7,YouTuber Devraj Patel killed in Road accident in Chhattisgarh's Raipur,The 22-year-old YouTuber shot to fame through his YouTube channel ‘Dil se bura lagta hai’ and used to speak in Chhattisgarhi dialect.,https://timesofindia.indiatimes.com/city/raipur/youtuber-devraj-patel-killed-in-road-accident-in-chhattisgarhs-raipur/articleshow/101286177.cms
8,"Korba: 2 brothers killed, 1 hurt in Road accident",,https://timesofindia.indiatimes.com/city/raipur/korba-2-brothers-killed-1-hurt-in-road-accident/articleshow/101032633.cms
9,Six killed as truck hits pickup vehicle in Baloda Bazaar district of Chhattisgarh,"At least six persons, including a child and woman, were killed in a Road accident that took place in the Baloda Bazaar district of Chhattisgarh. The accident happened when a pickup vehicle carrying over 2 dozen people was hit by a truck leaving six dead, said Baloda Bazaar SSP Deepak Jha.",https://timesofindia.indiatimes.com/city/raipur/6-killed-as-trucks-hits-pickup-vehicle-in-baloda-bazaar-district-of-chhattisgarh/articleshow/100238611.cms
10,"Couple killed, two kids hurt in Raigarh Road accident",,https://timesofindia.indiatimes.com/city/raipur/couple-killed-two-kids-hurt-in-raigarh-road-accident/articleshow/100579469.cms
11,Teacher killed in Road accident,,https://timesofindia.indiatimes.com/city/raipur/teacher-killed-in-road-accident/articleshow/99545536.cms
