sno,h,sub_h,link
1,Doctor dies in Road accident,"A 30-year-old doctor was killed after an RTV hit his scooter in the Okhla area, police said on Sunday, adding the accused driver has been arrested.",https://timesofindia.indiatimes.com/city/delhi/doctor-dies-in-road-accident/articleshow/100409709.cms
2,"2 dead, 4 injured in road crash in Delhi's Welcome area","Two helpers of a truck were killed and four people got injured after another truck hit the stationary vehicle in northeast Delhi's Welcome area in the early hours of Thursday, police said. According to police, the incident took place around 12.30am on Thursday on the flyover near Welcome Metro Station.",https://timesofindia.indiatimes.com/city/delhi/2-dead-4-injured-in-road-crash-in-delhis-welcome-area/articleshow/100505914.cms
3,"Woman in BMW kills man in 4am accident in Delhi's Moti Nagar, held","A 36-year-old man was killed after his scooter was hit by a speeding car in west Delhi's Moti Nagar early on Sunday. The police have arrested the woman who was driving the car and seized the vehicle, a black BMW.",https://timesofindia.indiatimes.com/city/delhi/speeding-car-hits-scooter-man-dies/articleshow/100402847.cms
4,Helmets can halve Road accident death risk: Doctors,"The majority of deaths in Road accidents are preventable by following four rules such as wearing seat belts, helmets, having cars with airbags and following traffic etiquette, doctors have said.",https://timesofindia.indiatimes.com/city/delhi/helmets-can-halve-road-accident-death-risk-doctors/articleshow/98928196.cms
5,"Trader, labourer die in 2 separate Road accidents in Delhi",A trader and a labourer died in separate Road accidents in north and west Delhi on Sunday.,https://timesofindia.indiatimes.com/city/delhi/trader-labourer-die-in-2-separate-road-accidents-in-delhi/articleshow/98463979.cms
6,"2 dead as car hits scooter, drags rider for 350 metre in Delhi; 5 held","Two scooter riders died after a car collided head-on with their vehicle in Delhi's Keshav Puram and drove on, dragging along for a distance one of its two riders, whose head got stuck between its mangled bonnet and the windshield.",https://timesofindia.indiatimes.com/city/delhi/2-dead-as-car-hits-scooter-drags-rider-for-350-metre-in-delhi-5-held-keshav-puram/articleshow/97403768.cms
7,"Minor girl killed in Road accident in Delhi, IAF officer's son held","Police reached the Ram Manohar Lohia hospital after receiving information about the accident of the girl, a resident of Arjun Vihar in Delhi Cantt, a senior police officer said. He added that the girl was declared dead on reaching the health facility.",https://timesofindia.indiatimes.com/city/delhi/minor-girl-killed-in-road-accident-in-delhi-iaf-officers-son-held/articleshow/98280179.cms
8,Delhi HC to cops: Is there an SOP for Road accident cases?,Delhi High Court on Friday asked the city police chief to inform it if there was any standard operating procedure (SOP) being followed in Road accident cases.,https://timesofindia.indiatimes.com/city/delhi/delhi-hc-to-cops-is-there-an-sop-for-road-accident-cases/articleshow/96124819.cms
9,"Delhi: Healthy, but not safe? 42% rise in cyclists’ deaths in Road accidents","With yet another cyclist falling prey to unsafe city roads, there was an outrage in the social media on Sunday as people demanded strict action against the offending driver.",https://timesofindia.indiatimes.com/city/delhi/delhi-healthy-but-not-safe-42-rise-in-cyclists-deaths-in-road-accident/articleshow/95810989.cms
10,Delhi: 3 die in separate Road accidents,Three people died in separate Road accidents in the city,https://timesofindia.indiatimes.com/city/delhi/3-die-in-separate-road-accidents/articleshow/94951329.cms
