sno,h,sub_h,link
1,Two die in separate Road accidents in Goa,,https://timesofindia.indiatimes.com/city/goa/two-die-in-separate-road-accidents-in-goa/articleshow/101463986.cms
2,"Two killed in Panaji, Chimbel Road accidents",,https://timesofindia.indiatimes.com/city/goa/two-killed-in-panaji-chimbel-road-accidents/articleshow/101467028.cms
3,21-yr-old dies in Road accident at Mapusa,,https://timesofindia.indiatimes.com/city/goa/21-yr-old-dies-in-road-accident-at-mapusa/articleshow/100260156.cms
4,Cops: 40% of deaths in Road accidents in 18-35 age group,"Over 40% of those who died in Road accidents last year were from the 18-35 age group, according to Goa police statistics. The data also reveals that most accidents take place between noon and 9pm.",https://timesofindia.indiatimes.com/city/goa/cops-40-of-deaths-in-road-accidents-in-18-35-age-group/articleshow/100402698.cms
5,3 killed in two Road accidents in South Goa,Three youngsters lost their lives in two separate accidents in Verna and Vasco on Sunday.,https://timesofindia.indiatimes.com/city/goa/3-killed-in-two-road-accidents-in-s-goa/articleshow/99894668.cms
6,Nagoa man dead as Gujarati tourist's vehicle hits him,"A speeding Gujarati tourist on Friday rammed into the bike of a Nagoa man dropping his children to school, killing him and injuring the children.",https://timesofindia.indiatimes.com/city/goa/nagoa-man-dead-as-gujarati-tourists-vehicle-hits-him/articleshow/98745777.cms
7,"9% rise in 2022 Road accidents in Goa, 271 lives lost in 3,011 crashes","In a shocking revelation, it has been found that two-third of the people who died in Road accidents in 2022 were on two-wheelers.",https://timesofindia.indiatimes.com/city/goa/9-rise-in-22-road-accidents-in-goa-271-lives-lost-in-3011-crashes/articleshow/97561372.cms
8,Study by Goa Medical College doctors finds 12.7% Road accidents due to alcohol consumption,"A study on road traffic accidents (RTAs) conducted by two doctors from the Goa Medical College and covering 440 cases found that a large number of drivers—13.04%—drove without a licence and that a sizeable number had consumed alcohol, thus placing themselves and others at risk.",https://timesofindia.indiatimes.com/city/goa/study-by-gmc-docs-finds-12-7-road-accidents-due-to-alcohol-consumption/articleshow/97462776.cms
9,Over 300 deaths/year: Booze kills more than Road accidents in Goa,"Even as alcoholism is a known problem in Goa, the sheer extent of the menace is disturbing, medical experts told TOI. Annually, Goa Medical College (GMC), the state's premier healthcare institute, sees over 300 deaths due to alcohol liver cirrhosis, a number comparable to road traffic accident deaths. In 2022, GMC reported 318 deaths due to alcoholic liver disease, and the previous year, it reported 356. Last year, Goa recorded 271 deaths.",https://timesofindia.indiatimes.com/city/goa/over-300-deaths/year-booze-kills-more-than-road-accidents-in-goa/articleshow/99394890.cms
10,Process for ex gratia payout for Road accidents made easy in Goa,"In a bid to provide financial relief to those families who applied but failed to get compensation due to delays or procedural lapses, the state government intends to offer ex gratia compensation of Rs 2 lakh to families of accident victims.",https://timesofindia.indiatimes.com/city/goa/process-for-ex-gratia-payout-for-road-accidents-made-easy-in-goa/articleshow/97339513.cms
