sno,h,sub_h,link
1,Two die in separate Road accidents,,https://timesofindia.indiatimes.com/city/rajkot/two-die-in-separate-road-accidents/articleshow/101810728.cms
2,Five killed in Road accidents in city,"Rash driving in Ahmedabad resulted in five fatal accidents on Tuesday, with three of the deceased being elderly persons. Two of these accidents occurred on the SP Ring Road.",https://timesofindia.indiatimes.com/city/ahmedabad/five-killed-in-road-accidents-in-city/articleshow/101500979.cms
3,Ahmedabad car accident: Bright futures crushed at 120kmph,"Hours after a speeding SUV cut short the lives of nine young Amdavadis, 19-year-old Tathya Patel, who was behind the wheels of the killer vehicle, and his father were taken to the accident site on Iskcon flyover to reconstruct the crime on Thursday. Surrounded by the police and media, the two caught hold of their ears and did sit-ups in an act of remorse, but it was too little, too late to compensate for the loss of the nine lives.",https://timesofindia.indiatimes.com/city/ahmedabad/ahmedabad-car-accident-bright-futures-crushed-at-120kmph/articleshow/102001678.cms
4,"Biker, woman die in Road accident",,https://timesofindia.indiatimes.com/city/vadodara/biker-woman-die-in-road-accident/articleshow/101267192.cms
5,2 killed in separate Road accidents,,https://timesofindia.indiatimes.com/city/rajkot/2-killed-in-separate-road-accidents/articleshow/101121231.cms
6,Four killed in 4 separate accidents,"Four people died in four separate Road accidents in Jamnagar and Rajkot districts on Thursday. In all the four incidents, the accused drivers fled and were yet to be arrested.",https://timesofindia.indiatimes.com/city/rajkot/four-killed-in-4-separate-accidents/articleshow/101586909.cms
7,44% drop in Road accidents in a decade: Harsh Sanghavi,"Praising the functioning of the Gujarat Road Safety Authority, state transport minister Harsh Sanghavi said on Wednesday that the number of Road accidents in the state have dropped by 44% over the past decade.",https://timesofindia.indiatimes.com/city/ahmedabad/44-drop-in-road-accidents-in-a-decade-harsh-sanghavi/articleshow/100664553.cms
8,Two dead in accident near Vataman,,https://timesofindia.indiatimes.com/city/ahmedabad/two-dead-in-accident-near-vataman/articleshow/100198823.cms
9,Road accident victim’s family donates organs,,https://timesofindia.indiatimes.com/city/ahmedabad/road-accident-victims-family-donates-organs/articleshow/100025566.cms
10,Cyclists victims in 4% of accidents,,https://timesofindia.indiatimes.com/city/ahmedabad/cyclists-victims-in-4-of-accidents/articleshow/99282900.cms
11,Suspected khair wood thieves die in vehicle accident,Two persons suspected to be involved in theft of khair wood from forest in Panchmahal district died in a Road accident. Khair wood was also found inside the vehicle that met with the accident.,https://timesofindia.indiatimes.com/city/vadodara/suspected-khair-wood-thieves-die-in-vehicle-accident/articleshow/98929220.cms
12,"In Vadodara, 5 of family killed in Road accident",Five members of a family were killed after a car rammed into an auto-rickshaw near Narayanwadi on Padra Road late on Thursday night. Three of the deceased were kids. The police said that a speeding car rammed into the auto-rickshaw that was carrying six passengers.,https://timesofindia.indiatimes.com/city/vadodara/5-of-family-killed-in-road-accident/articleshow/98223664.cms
13,6 die in 2 accidents on highways in Surat,,https://timesofindia.indiatimes.com/city/surat/6-die-in-2-accidents-on-highways-in-surat/articleshow/98289999.cms
14,2 die in 2 Road accidents in Diamond City,,https://timesofindia.indiatimes.com/city/surat/2-die-in-2-road-accidents-in-diamond-city/articleshow/98032444.cms
15,"CA student, four-yr-old girl die in Road accidents",,https://timesofindia.indiatimes.com/city/surat/ca-student-four-yr-old-girl-die-in-road-accidents/articleshow/98555664.cms
16,Nine killed in two separate Road accidents in Mahisagar district,Six persons died and 36 were injured when a goods carrier they were travelling in collided with a car near Lunawada in Mahisagar district on Wednesday afternoon. The condition of one of the injured was critical.,https://timesofindia.indiatimes.com/city/vadodara/nine-killed-in-two-separate-road-accidents-in-mahisagar-district/articleshow/98164680.cms
17,Man lodges complaint against son who died in Road accident in Ahmedabad,"A father has registered a complaint of rash driving and causing death by negligence against his son, who died in a Road accident on Sindhu Bhavan Road.",https://timesofindia.indiatimes.com/city/ahmedabad/man-lodges-complaint-against-son-who-died-in-road-accident/articleshow/98680252.cms
18,75-year-old killed in Road accident in Ahmedabad,"A 75-year-old woman Nayna Shah, a resident of Paldi, died after she was hit by a speeding car.",https://timesofindia.indiatimes.com/city/ahmedabad/75-year-old-killed-in-road-accident-in-ahmedabad/articleshow/97238096.cms
19,Ahmedabad third in accidents caused by road work,"This summarization states that in 2021, Ahmedabad had 201 accidents, the third highest in the country, due to construction work on the roads.",https://timesofindia.indiatimes.com/city/ahmedabad/abad-third-in-accidents-caused-by-road-work/articleshow/96724857.cms
20,A death in every fourth accident in Ahmedabad,"With the number of vehicles increasing and creaking road infrastructure, the number of Road accident fatalities continued to rise in the city.",https://timesofindia.indiatimes.com/city/ahmedabad/a-death-in-every-fourth-accident-in-ahmedabad/articleshow/96723150.cms
21,Three killed in Road accidents in two days,"Three people have been killed in three Road accidents in the city in the last two days. The accidents took place at Anjali Crossroads, Gota-Ognaj Road and near the Naroda Fire Station.",https://timesofindia.indiatimes.com/city/ahmedabad/three-killed-in-road-accidents-in-two-days/articleshow/95777600.cms
22,"Ahmedabad: Rickshaw driver avoids hitting cow, dies in accident","What may be called a case of apathy of the Ahmedabad Municipal Corporation (AMC), a man from Odhav died on Thursday after meeting with a Road accident.",https://timesofindia.indiatimes.com/city/ahmedabad/rickshaw-driver-avoids-hitting-cow-dies-in-accident/articleshow/96160291.cms
23,Ahmedabad: 3 dead in Road accidents in two days,"Three people have been killed in three Road accidents in the city in the last two days. The accidents took place at Anjali Crossroads, Gota-Ognaj Road and near the Naroda Fire Station. Police registered cases under IPC Section 304(A) (causing death by negligence) in all three instances.",https://timesofindia.indiatimes.com/city/ahmedabad/ahmedabad-3-dead-in-road-accidents-in-two-days/articleshow/95777458.cms
24,Gujarat: Half of Road accidents in 2021 fatal,"In the 15,200 road traffic accidents (RTAs) recorded by the state police in 2021, 7,457 persons lost their lives, recording the highest mortality rate at 49% in the past ten years. Five years ago, the mortality rate hovered around 37-38%. While the number of s has dropped in the past two years, the high mortality rate indicates that the crashes have become more lethal.",https://timesofindia.indiatimes.com/city/ahmedabad/gujarat-half-of-road-accidents-in-2021-fatal/articleshow/94234067.cms
25,"Gujarat: 10 killed, 7 injured after truck hits three-wheeler in Vadodara",Ten people were killed and seven others sustained injuries when a truck hit a three-wheeler ferrying passengers on a national highway in Gujarat's Vadodara on Tuesday afternoon.,https://timesofindia.indiatimes.com/city/vadodara/gujarat-10-killed-after-truck-hits-three-wheeler-in-vadodara/articleshow/94643912.cms
26,Ahmedabad: 20-year-old killed in Road accident,"A 20-year-old resident of Navrangpura, Jainish Karchaliya, died during treatment at Sola Civil Hospital after he was hit by an unidentified vehicle on the Iskcon flyover.",https://timesofindia.indiatimes.com/city/ahmedabad/ahmedabad-20-year-old-killed-in-road-accident/articleshow/93549189.cms
27,Ahmedabad: Why are some roads accident-prone?,"In early April, the city’s road safety council picked a few stretches on the city’s main roads to study what makes them prone to accidents. These included the airport road, the 132 feet Ring Road and Naroda road.",https://timesofindia.indiatimes.com/city/ahmedabad/why-are-some-roads-accident-prone/articleshow/91328512.cms
28,Man murdered in fight over Road accident in Jamnagar,"Five people allegedly murdered a man over a minor Road accident in Jamnagar late on Saturday night. Yogesh Kaushik, brother of the victim Rajesh, told the police that two people hit his car with their bike in Navagam Ghed area and picked up a fight.",https://timesofindia.indiatimes.com/city/rajkot/man-murdered-in-fight-over-road-accident/articleshow/92326383.cms
29,"Gujarat: Three, including a child, die in Road accident near Pavagadh","Three persons, including a five-year-old child, died after a car rammed into a divider on the Pavagadh Road on Sunday morning. Such was the impact of the accident that all the three died on the spot and three others suffered injuries.",https://timesofindia.indiatimes.com/city/vadodara/three-including-a-child-die-in-road-accident-near-pavagadh/articleshow/93844774.cms
30,Three students killed in Godhra Road accident,Three persons died after the car they were travelling in rammed into a trailer in Godhra taluka of Panchmahal district on Sunday. The deceased were travelling in a car from Madhya Pradesh to their home town in Anand when the incident occurred.,https://timesofindia.indiatimes.com/city/vadodara/three-students-killed-in-godhra-road-accident/articleshow/91426368.cms
31,"Gujarat: Factory owner thrashed, robbed of Rs 2.95 lakh after Road accident in Morbi",A ceramic factory owner of Morbi was allegedly thrashed and robbed of Rs 2.95 lakh near Ravapar road in Morbi district on Wednesday night when he was going back to home along with his employee.,https://timesofindia.indiatimes.com/city/rajkot/factory-owner-thrashed-robbed-after-road-accident/articleshow/92114928.cms
32,Elderly man dies in Road accident in Tandalja,An elderly man who used to work at a restaurant was killed in a Road accident near the Patrakar Colony in the Tandalja area of the city on Friday night. The deceased Babar Waghela and his wife Nandu Waghela were standing on the side of the road when Babar was run over by a car.,https://timesofindia.indiatimes.com/city/vadodara/elderly-man-dies-in-road-accident-in-tandalja/articleshow/90887101.cms
33,Gujarat: Four killed as car collides with truck in Bhavnagar,Four persons died when a car in which they were travelling collided with a truck on Nava Bandar road in the outskirts of Bhavnagar in the wee hours of Wednesday.,https://timesofindia.indiatimes.com/city/rajkot/gujarat-four-killed-as-car-collides-with-truck-in-bhavnagar/articleshow/91937696.cms
34,15-year-old boy dies in Road accident in Surat,surat a joyride with friends turned fatal for a 15yearold boy who died after his car crashed into a road divider on ichhaporemagdalla roadthe victim himesh dangar lived in gujarat housing board quarters in amroli and his father kanubhai works as a computer operator with a private firm in sachin areadangar tried contacting himesh on sunday morning but the calls went unansweredhe had gone unansweredhe had gone unansweredhe had...,https://timesofindia.indiatimes.com/city/surat/15-year-old-boy-dies-in-road-accident/articleshow/92071244.cms
35,Surat: Five die in separate Road accidents in 24 hours,"A least five persons died in separate Road accidents in the city in 24 hours ending Monday morning. Rutvik Vasava (21), a resident of Jahangirpura died after the moped he was riding was hit by an autorickshaw from behind near Iscon Circle on Sunday evening.",https://timesofindia.indiatimes.com/city/surat/five-die-in-separate-road-accidents-in-24-hours/articleshow/91753059.cms
36,Man dies in freak Road accident,"A 52-year-old Naranpura resident, identified as Bhadresh Raval, died in a freak accident on Friday. Raval lost control of his scooter, causing the vehicle to hit a divider. As he fell, a speeding vehicle ran over him, killing him on the spot.",https://timesofindia.indiatimes.com/city/ahmedabad/man-dies-in-freak-road-accident/articleshow/89049546.cms
37,3 of Mumbai family killed in Road accident,"Three members of a family from Kutch, who are settled in Mumbai for many years, were killed in an accident on the Ahmedabad-Kutch highway early on Wednesday.",https://timesofindia.indiatimes.com/city/rajkot/3-of-mumbai-family-killed-in-road-accident/articleshow/89464525.cms
38,"5 dead, 10 hurt in Road accident","Five people were killed and 10 injured after a minivan hit an unidentified vehicle on Dholka-Bagodara highway in the wee hours of Sunday, police said.",https://timesofindia.indiatimes.com/city/ahmedabad/5-dead-10-hurt-in-road-accident/articleshow/88798243.cms
39,Two children die in Sachin GIDC Road accidents,"Two children, aged one year and another three years, were killed in two separate accidents in the Sachin GIDC area on Monday.In the first case, one-year-old Savitri Kalra was run over by a tractor when she was playing near Shree Nilkanth Steel Corporation on Road no. 4.",https://timesofindia.indiatimes.com/city/surat/two-children-die-in-sachin-gidc-road-accidents/articleshow/89602855.cms
40,Six killed in three separate Road accidents,,https://timesofindia.indiatimes.com/city/rajkot/six-killed-in-three-separate-road-accidents/articleshow/88697594.cms
