sno,h,sub_h,link
1,Siblings die in Road accident,,https://timesofindia.indiatimes.com/city/shimla/siblings-die-in-road-accident/articleshow/100087658.cms
2,Himachal Pradesh: Five people killed in Road accident in Dharamshala,The accident took place at Rasehar village of Uthragran gram panchayat in Dharamshala assembly constituency.,https://timesofindia.indiatimes.com/city/shimla/himachal-pradesh-five-people-killed-in-road-accident-in-dharamshala/articleshow/100231994.cms
3,"In HP, 23% fatalities during accidents caused by collision",,https://timesofindia.indiatimes.com/city/shimla/in-hp-23-fatalities-during-accidents-caused-by-collision/articleshow/99004771.cms
4,"3 Punjab residents killed, 1 injured as vehicle falls into gorge in Shimla",Three people from Punjab were killed while another was injured after the vehicle ferrying them rolled off road and fell into a 900 meter gorge in Shimla on Monday night.,https://timesofindia.indiatimes.com/city/shimla/3-punjab-residents-killed-1-injured-as-vehicle-falls-into-gorge-in-shimla/articleshow/97269898.cms
5,"Himachal Pradesh: 3 dead, 1 injured as pillar falls on tipper vehicle in Mandi",Three persons were killed and one injured after a cement pillar fell on a tipper vehicle at a construction site in Himachal Pradesh's Mandi district on Tuesday morning.,https://timesofindia.indiatimes.com/city/shimla/himachal-pradesh-3-dead-1-injured-as-pillar-falls-on-tipper-vehicle-in-mandi/articleshow/92667093.cms
6,"Himachal Pradesh: 7 tourists from UP and Delhi killed, 10 injured as vehicle falls into gorge in Kullu",As many as seven people were killed and 10 others suffered injuries as a tempo traveller fell into a gorge in Kullu district of Himachal Pradesh on Sunday evening.,https://timesofindia.indiatimes.com/city/shimla/himachal-pradesh-7-dead-10-injured-as-tempo-falls-into-gorge-in-kullu/articleshow/94442156.cms
7,"In Himachal Pradesh, crash barriers installed only on 1.36% roads",A critical analysis of “rolled down” accidents in last 5 years carried by Himachal Pradesh Police has revealed that these accidents happen due to lack of “crash barriers” along the roads.,https://timesofindia.indiatimes.com/city/shimla/in-himachal-pradesh-crash-barriers-installed-only-on-1-36-roads/articleshow/92683796.cms
8,Newly-wed couple from UP killed in accident in Manali,A honeymoon trip to Himachal Pradesh ended in tragedy for a newly married couple from Uttar Pradesh. Rohit Kaushik (23) and Mansi (23) were killed after their jeep collided with a truck on Kullu-Manali national highway late Thursday night.,https://timesofindia.indiatimes.com/city/shimla/newly-wed-couple-from-up-killed-in-accident-in-manali/articleshow/93657914.cms
9,"4 die, 25 hurt in 2 HP Road accidents","Himachal Pradesh has reported four deaths and 25 injuries in two Road accidents in the last 24 hours. In Shimla, four people died and another was injured on Friday evening, while in Solan, 24 schoolchildren were hurt.",https://timesofindia.indiatimes.com/city/shimla/4-die-25-hurt-in-2-hp-road-accidents/articleshow/93828392.cms
10,15 injured as bus skids off and rolls down road in Shimla,At least 15 people suffered injuries after a bus skidded off the road near Baghar Kenchi and rolled down around 50-60 feet below the road in Shimla on Thursday.,https://timesofindia.indiatimes.com/city/shimla/15-injured-as-bus-skids-off-road-in-shimla/articleshow/93178359.cms
11,"4 die, 25 hurt in 2 Himachal Pradesh Road accidents","Himachal Pradesh has reported four deaths and 25 injuries in two Road accidents during the last 24 hours. In Shimla district's Chopal area on Friday evening, four people died and another was injured, while in Solan district, 24 schoolchildren were hurt.",https://timesofindia.indiatimes.com/city/shimla/4-die-25-hurt-in-2-himachal-pradesh-road-accidents/articleshow/93827818.cms
12,13 injured in Road accident in Shimla,"Shimla: Thirteen people were injured after a Himachal Road Transport Corporation bus skidded on a road near Kufri on Wednesday, an official said. The bus was going from Haridwar to Rampur. pti",https://timesofindia.indiatimes.com/city/shimla/13-injured-in-road-accident-in-shimla/articleshow/89464540.cms
13,3 killed in Kinnaur Road accident,Three persons were killed when the vehicle they were travelling fell into a gorge along Wangtoo-Kafnu link road in Kinnaur district of Himachal Pradesh on Monday. The ill-fated car fell into around 250-metre gorge resulting in on the spot death of three occupants.,https://timesofindia.indiatimes.com/city/shimla/3-killed-in-kinnaur-road-accident/articleshow/89416459.cms
14,"1 killed, 38 injured in Mandi Road accident","A Himachal Road Transport Corporation (HRTC) bus driver was killed and 37 passengers, including tourists, and the conductor were injured after the vehicle collided with a mountain face near Pandoh reservoir in Mandi district of Himachal Pradesh on Monday.",https://timesofindia.indiatimes.com/city/shimla/1-killed-38-injured-in-mandi-road-accident/articleshow/90652010.cms
15,"Himachal Pradesh: 1 killed, 38 injured in Mandi Road accident","A Himachal Road Transport Corporation (HRTC) bus driver was killed and 37 passengers, including tourists, and the conductor were injured after the vehicle collided with a mountain face near Pandoh reservoir in Mandi district of Himachal Pradesh on Monday.",https://timesofindia.indiatimes.com/city/shimla/himachal-pradesh-1-killed-38-injured-in-mandi-road-accident/articleshow/90654281.cms
