sno,h,sub_h,link
1,7 Amarnath pilgrims among 8 injured in Road accident in Jammu and Kashmir's Tikkri,"Eight people, including seven Amarnath pilgrims, were injured when a Kashmir-bound vehicle dashed a divider near the Tikkri area in Jammu and Kashmir’s Udhampur district on Sunday, police said.",https://timesofindia.indiatimes.com/city/jammu/7-amarnath-pilgrims-among-8-injured-in-road-accident-in-jammu-and-kashmirs-tikkri/articleshow/101438776.cms
2,Amarnath Yatra: 4 pilgrims among 5 injured in road mishap in Jammu-Kashmir's Udhampur district,"Five people, including four Amarnath pilgrims were injured on Wednesday when a vehicle in which they were travelling hit a road divider near Samroli on Jammu-Srinagar National Highway in Udhampur district.",https://timesofindia.indiatimes.com/city/jammu/amarnath-yatra-4-pilgrims-among-5-injured-in-road-mishap-in-jammu-kashmirs-udhampur-district/articleshow/101702433.cms
3,"4 dead, 8 injured in car accident in Jammu and Kashmir's Rajouri",GMC Rajouri Medical Superintendent said that the injured are under treatment at Government Medical College and Associated Hospital in Rajouri.,https://timesofindia.indiatimes.com/city/jammu/4-dead-5-injured-in-car-accident-in-jammu-and-kashmirs-rajouri/articleshow/101500296.cms
4,7 dead as cruiser vehicle falls into gorge in Jammu and Kashmir's Kishtwar,At least six people were feared dead after a vehicle skidded off the road and fell into a deep gorge in Kishtwar district of Jammu and Kashmir on Wednesday.,https://timesofindia.indiatimes.com/city/jammu/7-killed-as-vehicle-falls-into-gorge-in-jammu-and-kashmirs-kishtwar/articleshow/100463479.cms
5,"Three killed, many injured in two separate Road accidents in Jammu and Kashmir’s Reasi","Three people were killed and several others injured in two separate Road accidents in Jammu and Kashmir’s Reasi district late on Saturday. On Saturday evening, information was received that one EECO van on its way to Devigarh from Reasi fell into a deep gorge and caught fire due to which three persons died on the spot, police said.",https://timesofindia.indiatimes.com/city/jammu/three-killed-many-injured-in-two-separate-road-accidents-in-jammu-and-kashmirs-reasi/articleshow/99889360.cms
6,"Road accident in Jammu leaves Himachal Pradesh woman pilgrim dead, four injured",A woman pilgrim from Himachal Pradesh was killed while four others suffered injuries when their car collided with another vehicle on Katra-Jammu road near Domail in Jammu district.,https://timesofindia.indiatimes.com/city/jammu/road-accident-in-jammu-leaves-himachal-pradesh-woman-pilgrim-dead-four-injured/articleshow/99710354.cms
7,"4 killed, 28 injured as bus overturns in Jammu and Kashmir's Pulwama",Four people were killed and 28 other suffered injuries when the bus in which they were travelling overturned as the driver lost control of the vehicle in Pulwama district of Jammu and Kashmir on Saturday.,https://timesofindia.indiatimes.com/city/srinagar/4-killed-28-injured-as-bus-overturns-in-jammu-and-kashmirs-pulwama/articleshow/98748365.cms
8,Jammu police trace family that conspires its death in car accident to evade huge loans,"Jammu police have traced a couple from from Haryana’s Panchkula who faked their own deaths, along with their minor daughter, in a staged car accident to evade paying back large loans.",https://timesofindia.indiatimes.com/city/jammu/jammu-police-trace-family-that-conspires-its-death-in-car-accident-to-evade-huge-loans/articleshow/96837742.cms
9,"Driver rams car into students in Kathua; 1 girl dead, 10 kids injured","A 17-year-old girl named Jammu was killed and 10 other students were injured after a speeding car rammed them while they were waiting for a bus outside their school in Kathua, India. The car was on its way to Jammu from Punjab when its driver lost control and hit the school children. Jammu died on the spot, and 10 other students suffered injuries. The injured students were immediately shifted to government medical college GMC Kathua for treatment. One student, Amit Lagotra, who suffered critical injuries was later referred to GMC Jammu from where his family members reportedly shifted him to Pathankot for special treatment. The police said the accused driver was arrested and the vehicle was seized. Deputy Commissioner Rahul Pandey and Dogra Swabhiman Sangathan Chairman Chaudhary Lal Singh visited GMC Kathua to inquire about the condition of the injured students. Jammu and Kashmir Lieutenant Governor Manoj Sinha also extended his condolences over the loss of life in the Kathua . His office tweeted ""extremely pained by the tragic in Kathua, I share the pain of the bereaved family. I pray that young children injured in the accident recover at the earliest."" Union Minister Dr. Jitendra Singh tweeted",https://timesofindia.indiatimes.com/city/jammu/driver-rams-car-into-students-in-kathua-1-girl-dead-10-kids-injured/articleshow/97471366.cms
10,Minor and woman from Delhi killed at Road accident at Railway Station Jammu,,https://timesofindia.indiatimes.com/city/jammu/minor-and-woman-from-delhi-killed-at-road-accident-at-railway-station-jammu/articleshow/93712676.cms
11,"Jammu and Kashmir: Two pilgrims killed, six injured in Road accident in Kishtwar",,https://timesofindia.indiatimes.com/city/jammu/jammu-and-kashmir-two-pilgrims-killed-six-injured-in-road-accident-in-kishtwar/articleshow/91923522.cms
12,Two killed in Road accident in Rajouri,Two persons were killed and several others injured on Thursday in a Road accident in Jammu and Kashmir’s Rajouri district.,https://timesofindia.indiatimes.com/city/jammu/two-killed-in-road-accident-in-rajouri/articleshow/88602334.cms
13,"Nine killed, 15 injured in J&K's Doda after bus falls into gorge","A mini bus skidded off the road and rolled down into a gorge in Jammu and Kashmir's Doda district on Thursday, leaving nine passengers dead and 15 others injured, officials said.",https://timesofindia.indiatimes.com/city/jammu/bus-falls-into-gorge-in-jammu-and-kashmir-9-killed/articleshow/87330477.cms
14,"J&K: 3 killed, 6 injured in Road accident in Reasi district",,https://timesofindia.indiatimes.com/city/jammu/jk-3-killed-6-injured-in-road-accident-in-reasi-district/articleshow/90986467.cms
15,"Jammu and Kashmir: 1 dead, 12 injured after tempo collides with truck in Ramban district","One person died and 12 others were injured on Monday in a head-on collision between a truck and a tempo traveller in Ramban district, police said.",https://timesofindia.indiatimes.com/city/srinagar/jammu-and-kashmir-1-dead-12-injured-after-tempo-collides-with-truck-in-ramban-district/articleshow/84750270.cms
16,"2 killed, 4 injured as vehicle collides with wall on highway in Kathua","Two people were killed and four seriously injured when their vehicle skidded off the road and collided with the safety wall of a highway in Jammu and Kashmir's Kathua district on Thursday, officials said.",https://timesofindia.indiatimes.com/city/jammu/2-killed-4-injured-as-vehicle-collides-with-wall-on-highway-in-kathua/articleshow/84019504.cms
17,Five killed in Road accident in Jammu and Kashmir's Doda district,Five people were killed in a Road accident in Jammu and Kashmir's Doda district on Friday.,https://timesofindia.indiatimes.com/city/jammu/five-killed-in-road-accident-in-jammu-and-kashmirs-doda-district/articleshow/76641602.cms
