sno,h,sub_h,link
1,"Kanwariya killed, four family members injured in Road accident in Jharkhand's Dumka","One 'Kanwariya' died and four other members of his family sustained injuries in a Road accident in Jharkhand's Dumka district on Tuesday, a police officer said. The accident took place when the SUV they were riding in struck a roadside tree on the Dumka-Bhagalpur route, said Rohit Kumar, officer-in-charge of Hansdiha police station.",https://timesofindia.indiatimes.com/city/ranchi/kanwariya-killed-four-family-members-injured-in-road-accident-in-jharkhands-dumka/articleshow/101672781.cms
2,"One dead, four injured in Ramgarh accident",,https://timesofindia.indiatimes.com/city/ranchi/one-dead-four-injured-in-ramgarh-accident/articleshow/100691508.cms
3,"4 die, 4 hurt in 2 accidents",,https://timesofindia.indiatimes.com/city/ranchi/4-die-4-hurt-in-2-accidents/articleshow/100608469.cms
4,10 die in a fortnight in Road accidents,"At least 10 persons, including two Central Industrial Security Force (CISF) personnel and a photo journalist, died and more than 40 people were injured in separate Road accidents on the two highways passing through Ramgarh in a fortnight.",https://timesofindia.indiatimes.com/city/ranchi/10-die-in-a-fortnight-in-road-accidents/articleshow/100198865.cms
5,Four of a family die in Road accident,,https://timesofindia.indiatimes.com/city/ranchi/four-of-a-family-die-in-road-accident/articleshow/99330356.cms
6,2 jawans among 5 killed in Ramgarh accidents,,https://timesofindia.indiatimes.com/city/ranchi/2-jawans-among-5-killed-in-ramgarh-accidents/articleshow/99599961.cms
7,2 kids among 4 dead in Road accident,,https://timesofindia.indiatimes.com/city/ranchi/2-kids-among-4-dead-in-road-accident/articleshow/98243540.cms
8,Teams to identify accident-prone zones on NH-33,,https://timesofindia.indiatimes.com/city/ranchi/teams-to-identify-accident-prone-zones-on-nh-33/articleshow/98243541.cms
9,Two die in Godda Road accident,"In a Road accident on Friday night, two employees of an outsourcing company working for the Adani Power Plant were killed. Five people have died in Road accidents in the district since January 1. The deceased are Brambhadeo Pandit of Lehri Tola in Uttar Pradesh and Vinod Kumar of Sahibganj in Uttar Pradesh. They were killed on their way home when a speeding car hit their motorcycle at about 7:30 PM near Pakadiya village under the town police station. The collision was so intense that the duo was thrown 50 meters away. The driver of the car, who is yet to be identified, was seemingly drunk and is being treated at a private hospital.",https://timesofindia.indiatimes.com/city/ranchi/two-die-in-godda-road-accident/articleshow/96825034.cms
10,Two killed in Road accident,A driver and a helper died when their vehicle overturned after hitting a road barrier near the Ring Road in Ranchi city on Friday. The deceased have been identified as Bali Karmali (22) and Chaita Bedia (26).,https://timesofindia.indiatimes.com/city/ranchi/two-killed-in-road-accident/articleshow/95615456.cms
11,Dhanbad cybercrime DSP injured in Road accident in Ramgarh,A deputy superintendent of police in Dhanbad was injured after his motorcycle collided head on with an incoming car in a bend on a state highway in Ormanjhi-Gola state on Friday morning. The officer was taken to a private hospital in Ranchi immediately and is now stable. A highway rescue team comprising 10 people who usually patrol the accident prone valley first spotted the injured officer and rescued him.,https://timesofindia.indiatimes.com/city/ranchi/dhanbad-cybercrime-dsp-injured-in-road-accident-in-ramgarh/articleshow/96980371.cms
