sno,h,sub_h,link
1,"5 killed, 8 injured in Road accident in Andhra Pradesh's Tirupati",Five people were killed and eight others sustained injuries in a ghastly Road accident on Tirupati-Chennai national highway on Sunday.,https://timesofindia.indiatimes.com/city/amaravati/5-killed-8-injured-in-road-accident-in-andhra-pradeshs-tirupati/articleshow/100919628.cms
2,"Andhra Pradesh: Three of family killed, two injured in Road accident near Yerpedu in Tirupati",At least three people were killed while two others suffered injuries in a road mishap reported near Yerpedu in Tirupati district early on Thursday morning.,https://timesofindia.indiatimes.com/city/amaravati/andhra-pradesh-three-of-a-family-killed-two-injured-in-a-road-accident-near-yerpedu-in-tirupati/articleshow/100666682.cms
3,"Andhra Pradesh: Two killed, 15 injured in Road accident on Tirumala ghat road",The impact of the accident was so severe that two women died on the spot and 15 others sustained injuries.,https://timesofindia.indiatimes.com/city/amaravati/andhra-pradesh-two-killed-15-injured-in-road-accident-on-tirumala-ghat-road/articleshow/100232301.cms
4,"Four killed, 8 injured in Road accident near Pulicherla in Andhra Pradesh's Chittoor district","According to the Chittoor district police wing, a group of family members from Nandyal were travelling to Tiruvannamalai in Tamil Nadu in their SUV. A cement laden truck crashed into the SUV near a private college in Pulicherla mandal along the Kadapa-Chittoor highway on Saturday morning.",https://timesofindia.indiatimes.com/city/amaravati/four-killed-8-injured-in-road-accident-near-pulicherla-in-andhra-pradeshs-chittoor-district/articleshow/100725615.cms
5,Former MLA Patil Neeraja Reddy dies in car crash in Andhra Pradesh,,https://timesofindia.indiatimes.com/city/amaravati/former-mla-patil-neeraja-reddy-dies-in-car-crash-in-andhra-pradesh/articleshow/99538617.cms
6,"9, including 2 Tamil Nadu natives, killed in Road accidents","Nine persons were killed in Road accidents that took place in different districts. Four persons died in an accident around midnight on Saturday along the Chittoor-Kadapa highway near Kothapalli cross in Ramapuam mandal of Annamayya district. Two cars from opposite directions collided head-on leading to the deaths of Penamala Lakshmamma (65), P Narasayya (41), Chinnakka (60) and driver Raja Reddy (35).",https://timesofindia.indiatimes.com/city/amaravati/9-including-2-tamil-nadu-natives-killed-in-road-accidents/articleshow/99546544.cms
7,"Woman, her daughter die in Road accident in Andhra Pradesh",A woman and daughter died in a Road accident on a flyover in Gangavaram in Chittoor district after the bike they were riding was hit by a lorry on Friday.,https://timesofindia.indiatimes.com/city/amaravati/woman-her-daughter-die-in-road-accident-in-andhra-pradesh/articleshow/99154444.cms
8,Four devotees from Maharashtra killed in Road accident near Tirupati,Four devotees were killed on the spot while five others sustained injuries after their car rammed into a culvert in Chandragiri mandal near Tirupati on Wednesday.,https://timesofindia.indiatimes.com/city/amaravati/four-devotees-from-maharashtra-killed-in-road-accident-near-tirupati/articleshow/97330747.cms
9,Four killed in separate Road accidents in YSR and Chittoor districts of Andhra Pradesh,11 pilgrims from Proddatur in YSR district were returning back to their native in a hired vehicle after a pilgrimage to Tirumala on Friday morning.,https://timesofindia.indiatimes.com/city/amaravati/four-killed-in-separate-road-accidents-in-ysr-and-chittoor-districts-of-andhra-pradesh/articleshow/97178425.cms
10,"Six people killed, 20 injured in Road accident in Andhra Pradesh's Chittoor",Police registered a case and shifted the bodies of the deceased for postmortem.,https://timesofindia.indiatimes.com/city/amaravati/six-killed-20-injured-in-road-accident-in-andhra-pradeshs-chittoor/articleshow/96071762.cms
