sno,h,sub_h,link
1,Student killed in Road accident,,https://timesofindia.indiatimes.com/city/mangaluru/student-killed-in-road-accident/articleshow/101972457.cms
2,Man killed in Road accident,,https://timesofindia.indiatimes.com/city/mangaluru/man-killed-in-road-accident/articleshow/101907926.cms
3,Three sustain serious injuries in Road accident,,https://timesofindia.indiatimes.com/city/hubballi/three-sustain-serious-injuries-in-road-accident/articleshow/101842235.cms
4,"5,804 people died in accidents in K’taka in first half of 2023",,https://timesofindia.indiatimes.com/city/mysuru/5804-people-died-in-accidents-in-ktaka-in-first-half-of-2023/articleshow/102154788.cms
5,Three killed in Road accident,,https://timesofindia.indiatimes.com/city/hubballi/three-killed-in-road-accident/articleshow/101006544.cms
6,3 labourers suffer burns in gelatin explosion,Three men working at an under-construction site sustained severe burns in an alleged gelatin explosion at Whitefield recently.,https://timesofindia.indiatimes.com/city/bengaluru/3-labourers-suffer-burns-in-gelatin-explosion/articleshow/101652385.cms
7,Newly wed man dies in accident,,https://timesofindia.indiatimes.com/city/hubballi/newly-wed-man-dies-in-accident/articleshow/101443951.cms
8,Six from Kalaburagi killed in accident,,https://timesofindia.indiatimes.com/city/hubballi/six-from-kalaburagi-killed-in-accident/articleshow/101427170.cms
9,Fire breaks out following collision between two trucks in Karnataka's Haveri,A massive fire broke out following a collision between two trucks near Shiggaon in the Haveri district of Karnataka on Monday morning.,https://timesofindia.indiatimes.com/city/hubballi/fire-breaks-out-following-collision-between-two-trucks-in-karnatakas-haveri/articleshow/100580929.cms
10,"Last year, 76% of Road accidents in Bengaluru occurred on straight stretches","Most motor vehicle accidents in Bengaluru city in 2022 happened on straight roads and main roads and not at curves or on roads full of humps. Incidentally, the year also saw a dip in the number of accidents caused by poor infrastructure.",https://timesofindia.indiatimes.com/city/bengaluru/last-year-76-of-road-accidents-in-city-occurred-on-straight-stretches/articleshow/101176761.cms
11,Mysuru police take steps to prevent Road accidents,"After the death of eleven members of a Ballari family in a ghastly Road accident near T Narasipura recently, the district police have asked the National Highways Authority of India and road transport authorities to take up measures to prevent s. Cops have recommended the widening of roads, especially near curves.",https://timesofindia.indiatimes.com/city/mysuru/mysuru-police-take-steps-to-prevent-road-accidents/articleshow/101032611.cms
12,Data: Most fatal accident accused did secondary edu,,https://timesofindia.indiatimes.com/city/bengaluru/data-most-fatal-accident-accused-did-secondary-edu/articleshow/101077062.cms
13,"Karnataka accident: 5 killed, 13 injured as cruiser rams into lorry in Yadgir",As many as five people were killed and 13 others injured when a cruiser rammed into a lorry stationed at roadside in Yadgir district of Karnataka on Tuesday.,https://timesofindia.indiatimes.com/city/hubballi/5-killed-13-injured-as-cruiser-rams-into-lorry-in-karnatakas-yadgir/articleshow/100783407.cms
