sno,h,sub_h,link
1,108 killed in Road accidents in four months in rural Ekm,,https://timesofindia.indiatimes.com/city/kochi/108-killed-in-road-accidents-in-four-months-in-rural-ekm/articleshow/102066766.cms
2,"One killed, two injured in Road accident",,https://timesofindia.indiatimes.com/city/kochi/one-killed-two-injured-in-road-accident/articleshow/101559653.cms
3,25 people injured in Road accident after private bus rams into another in Kerala's Thrissur,Over 25 people were injured after the collission of two private buses near Irinjalakuda in Thrissur district of Kerala on Tuesday morning. Two of the injured are said to be serious.,https://timesofindia.indiatimes.com/city/kochi/25-people-injured-in-road-accident-after-private-bus-rams-into-another-in-keralas-thrissur/articleshow/100611935.cms
4,"3 of a family killed in Road accident, 2 injured in Kerala",An elderly couple and their 11-year-old granddaughter were killed when their car collided head-on with a KSRTC bus at Thalikulam near Triprayar on Sunday morning.,https://timesofindia.indiatimes.com/city/kochi/3-of-a-family-killed-in-road-accident-2-injured-in-kerala/articleshow/99542504.cms
5,2 from Thrissur killed in Tamil Nadu Road accident,"Two persons from Thrissur - Lilly Varghese (63) of Nellikunnu and Jerald Jimmy (9) of Varantharapilli Pallikunnu - were killed when a tourist bus carrying them to Velankanni shrine overturned near Okkanadu in Thanjavur, Tamil Nadu, on Sunday morning.",https://timesofindia.indiatimes.com/city/kochi/2-from-thrissur-killed-in-tamil-nadu-road-accident/articleshow/99200325.cms
6,Teenager killed in Road accident in Kochi,"An 18-year-old was killed in a Road accident at Puthiya Road on Willingdon Island on Monday night. The deceased has been identified as Ajmal Hamsa of Thankalam, Kothamangalam. The youth died after a car collided with his two-wheeler.",https://timesofindia.indiatimes.com/city/kochi/teenager-killed-in-road-accident/articleshow/96898972.cms
7,Elderly killed in Road accident in Kochi,A 72-year-old two-wheeler rider died after being hit by a private bus at Judge's Avenue Junction near Kaloor on Saturday evening. The deceased has been identified as Rajagopal Naik of Kovilvattom Road. He died on the spot. The police have taken the driver of the bus operating between Fort Kochi and Aluva into custody. Naik leaves behind his wife and two daughters.,https://timesofindia.indiatimes.com/city/kochi/elderly-killed-in-road-accident/articleshow/96657149.cms
8,Rise in number of accidents involving bicycles in district,"The state capital of Thiruvananthapuram recorded 22 Road accidents involving bicycles in 2021. This number is significant because it is the first time that this has been reported in the city. The number of accidents in 2021 was lower than in 2020 and 2019, likely because of the Covid-19 lock-out. The report classifies accidents under various categories, and bicycle-related accidents are included under the category of accidents based on the type of impacting vehicle. Objects figures for 2021 show that all the 22 accidents involved grievous injuries to the people involved. Over the years, there has been a strong clamour to ensure safe cycling tracks on city roads, but due to lack of planning and space constraints, the demand has not been met yet. The minutes of one of the latest board meetings showed that smart city Thiruvananthapuram Limited and the city corporation were planning to revive the last mile connectivity scheme through public bicycle sharing in the city. The scheme is already functional in Kochi around 200 ebicycles are likely to be introduced in the city for the project. Public bicycle sharing was initially a part of the smart city proposal, but concerns were raised regarding the feasibility of the project. The main reason to put the project on hold was the difficulty in",https://timesofindia.indiatimes.com/city/thiruvananthapuram/rise-in-number-of-accidents-involving-bicycles-in-district/articleshow/97410105.cms
9,Woman killed in two-wheeler accident,"A 40-year-old two-wheeler rider died in a Road accident in Irumbanam near Tripunithura on Thursday. The deceased was identified as Mary Sujin Malar, 40, wife of Sajan Murukeshan of Chitrapuzha. According to police, the twowheeler skidded by the edge of the road and the scooter overturned, she fell onto the road and got run over by a truck. Police initiated action against 9946 twowheeler riders for not wearing helmets in December as part of a special drive to improve road safety. They also booked 1173 motorists for not wearing seatbelts in the monthlong drive. They also took action against 643 drivers of public transport vehicles for not wearing correct uniforms, 362 for not having registration certificate of vehicles, 146 for driving without licence and 126 twowheeler riders for riding around with more than one pillion rider. 743 persons were booked for driving under influence.",https://timesofindia.indiatimes.com/city/kochi/woman-killed-in-two-wheeler-accident/articleshow/97158336.cms
10,27-yr-old Navy officer killed in accident in Kochi,A navy officer was killed in a Road accident in Fort Kochi on Sunday. The officer has been identified as Balasubramanyam from Tamil Nadu. The officer was travelling on his bike when a private bus collided with it. The driver and the bus have been taken into custody and a case is being registered against them.,https://timesofindia.indiatimes.com/city/kochi/27-yr-old-navy-officer-killed-in-accident/articleshow/97017677.cms
