sno,h,sub_h,link
1,"Jabalpur man, 2 sons killed in Narsinghpur Road accident",,https://timesofindia.indiatimes.com/city/bhopal/jabalpur-man-2-sons-killed-in-narsinghpur-road-accident/articleshow/102294651.cms
2,5 killed as mini truck falls into river in Madhya Pradesh's Datia,Five people were killed when a mini truck carrying around 50 laborers veered off a bridge and fell into the river in Datia district of Madhya Pradesh late on Tuesday night.,https://timesofindia.indiatimes.com/city/bhopal/5-killed-as-mini-truck-falls-into-river-in-madhya-pradeshs-datia/articleshow/101329166.cms
3,"7 killed, 2 injured as dumper truck overturns on SUV in Madhya Pradesh's Sidhi district","Seven people, including two children, were killed and two sustained injuries after a dumper truck overturned onto a sports utility vehicle (SUV) in Madhya Pradesh's Sidhi district on Thursday morning.",https://timesofindia.indiatimes.com/city/bhopal/7-killed-2-injured-as-dumper-truck-overturns-on-suv-in-madhya-pradeshs-sidhi-district/articleshow/100842501.cms
4,2 dead in separate Road accidents in Nishatpura,,https://timesofindia.indiatimes.com/city/bhopal/2-dead-in-separate-road-accidents-in-nishatpura/articleshow/100889113.cms
5,2 die in separate Road accidents,,https://timesofindia.indiatimes.com/city/bhopal/2-die-in-separate-road-accidents/articleshow/100389534.cms
6,Two die in accident,,https://timesofindia.indiatimes.com/city/indore/two-die-in-accident/articleshow/100952072.cms
7,"Cong leader dies in Narmadapuram Road accident, 2 hurt",,https://timesofindia.indiatimes.com/city/bhopal/cong-leader-dies-in-narmadapuram-road-accident-2-hurt/articleshow/100951856.cms
8,41-year-old dies of crash injuries,,https://timesofindia.indiatimes.com/city/bhopal/41-year-old-dies-of-crash-injuries/articleshow/100889111.cms
9,"One dead, one injured in Misrod Road accident",,https://timesofindia.indiatimes.com/city/bhopal/one-dead-one-injured-in-misrod-road-accident/articleshow/100717044.cms
10,"26-yr-old woman, 1-yr-old son killed in Singrauli Road accident",,https://timesofindia.indiatimes.com/city/bhopal/26-yr-old-woman-1-yr-old-son-killed-in-singrauli-road-accident/articleshow/100780428.cms
11,"2 die in Road accidents in Parwalia, Sukhi Sewania",,https://timesofindia.indiatimes.com/city/bhopal/2-die-in-road-accidents-in-parwalia-sukhi-sewania/articleshow/100369066.cms
12,"5 killed, several injured in collision between bus and tractor-trolley in Madhya Pradesh's Shajapur",Five people were killed and over a dozen injured in a head-on collision between a sleeper passenger bus and a tractor-trolley on Maksi-Ujjain road in Shajapur district of Madhya Pradesh early on Thursday morning.,https://timesofindia.indiatimes.com/city/indore/5-killed-several-injured-in-collision-between-bus-and-tractor-trolley-in-madhya-pradeshs-shajapur/articleshow/100319705.cms
13,Five members of family among 6 killed in Road accidents in Madhya Pradesh,"Six persons, including five members of a family, were killed and eight others injured in two separate Road accidents in Madhya Pradesh, police said on Wednesday.",https://timesofindia.indiatimes.com/city/bhopal/five-members-of-family-among-6-killed-in-road-accidents-in-madhya-pradesh/articleshow/98499133.cms
14,"Woman, son killed in Road accident",,https://timesofindia.indiatimes.com/city/indore/woman-son-killed-in-road-accident/articleshow/98956468.cms
15,8 accidents/day in Bhopal,"As many as 2,788 Road accidents took place in Bhopal during 2022 as per the data maintained by city traffic police. It means that eight Road accidents were reported to police each day during the year. Traffic police have identified 12 black spots (accident-prone spots) after analysing the data of last three years from 2020 to 2022.",https://timesofindia.indiatimes.com/city/bhopal/8-accidents/day-in-state-capital/articleshow/99654558.cms
16,Two injured in separate Road accidents,,https://timesofindia.indiatimes.com/city/bhopal/two-injured-in-separate-road-accidents/articleshow/98489017.cms
17,Govt school teacher dies in Road accident,,https://timesofindia.indiatimes.com/city/bhopal/govt-school-teacher-dies-in-road-accident/articleshow/98720430.cms
18,Two youngsters die in accident on Bypass,,https://timesofindia.indiatimes.com/city/indore/two-youngsters-die-in-accident-on-bypass/articleshow/99228053.cms
19,"Mom, 5-mth-old killed in Road accident",,https://timesofindia.indiatimes.com/city/indore/mom-5-mth-old-killed-in-road-accident/articleshow/98575303.cms
20,"MYH nurse dies, husband injured in crash; man killed in Dewas accident",,https://timesofindia.indiatimes.com/city/indore/myh-nurse-dies-husband-injured-in-crash-man-killed-in-dewas-accident/articleshow/98422058.cms
21,Two die in Road accident in Bhopal's Kolar,A speeding tractor rammed into an auto-rickshaw that was carrying four men including the auto-driver at Suraiya Nagar village in Kolar on Mandideep border on Monday night.,https://timesofindia.indiatimes.com/city/bhopal/two-die-in-road-accident-in-kolar/articleshow/97713222.cms
22,Three die in accidents,,https://timesofindia.indiatimes.com/city/indore/three-die-in-accidents/articleshow/98289815.cms
23,"Auto-rickshaw, tractor collide in Kolar; two killed","A speeding tractor rammed into an auto-rickshaw carrying four men at Suraiya Nagar village in Kolar, close to Mandideep border, on Monday night. Two men died in the accident while there was no information about the three others.",https://timesofindia.indiatimes.com/city/bhopal/auto-rickshaw-tractor-collide-in-kolar-two-killed/articleshow/97712396.cms
24,Two killed in accidents across city in last 24 hours,,https://timesofindia.indiatimes.com/city/bhopal/two-killed-in-accidents-across-city-in-last-24-hours/articleshow/97633137.cms
25,"1 killed, 2 hurt in Road accident","A man was killed and two others were injured after a bus and a tractor collided in Dhamnod Rohit. A resident of Simrali died on the spot, and two others on the tractor - Vishnu and Ajay - residents of Simrali were injured and rushed to Dhamnod Government Hospital for treatment.",https://timesofindia.indiatimes.com/city/indore/1-killed-2-hurt-in-road-accident/articleshow/96441173.cms
