sno,h,sub_h,link
1,Cops rushed 470 Road accident victims to hospitals in PCR vans in 18 months: Data,"At least 470 Road accident victims in the capital were shifted to nearby hospitals by the commissionerate police in the past 18 months, data shared by police shows. A bulk of the victims were sole earning members of their families.",https://timesofindia.indiatimes.com/city/bhubaneswar/cops-rushed-470-road-accident-victims-to-hospitals-in-pcr-vans-in-18-months-data/articleshow/102295968.cms
2,‘Road accident deaths dip in April-May than in 2022’,,https://timesofindia.indiatimes.com/city/bhubaneswar/road-accident-deaths-dip-in-april-may-than-in-2022/articleshow/102243314.cms
3,Road accident deaths went up 17% in 1st 3 months in Odisha,"Odisha witnessed a 17% rise in deaths due to Road accidents between January and March this year as compared to the first quarter in the previous year, according to the latest data compiled by the state police.",https://timesofindia.indiatimes.com/city/bhubaneswar/road-accident-deaths-went-up-17-in-1st-3-months-in-odisha/articleshow/101371230.cms
4,Cops get training to improve road crash probe skills,"Amid a spate of fatal Road accidents in the state, the transport department on Wednesday launched a 20-day training programme for police personnel to enhance their skills to investigate such cases.",https://timesofindia.indiatimes.com/city/bhubaneswar/cops-get-training-to-improve-road-crash-probe-skills/articleshow/101530516.cms
5,"Couple, five-year-old daughter killed in car-tanker collision in Odisha's Koraput","The deceased have been identified as Jeypore natives, Satrughan Pradhan (35), his wife Rasmita (25) and their daughter Subhalaxmi (5), said police.",https://timesofindia.indiatimes.com/city/bhubaneswar/couple-five-year-old-daughter-killed-in-car-tanker-collision-in-odishas-koraput/articleshow/101304020.cms
6,"7 of wedding party killed, 4 injured after their car falls into canal in Odisha's Sambalpur","Seven people were killed and four injured, after their car fell into the Sasan canal at Sasan area in Sambalpur district, while they were returning after attending a marriage function in the wee hours of Friday.",https://timesofindia.indiatimes.com/city/bhubaneswar/7-of-wedding-party-killed-4-injured-after-their-car-falls-into-canal-in-odishas-sambalpur/articleshow/99132419.cms
7,"Two dead, 10 injured in Road accident",,https://timesofindia.indiatimes.com/city/bhubaneswar/two-dead-10-injured-in-road-accident/articleshow/99681844.cms
8,"In Odisha, two dead, 10 injured in Road accident",Two persons died and 10 others were injured after the auto-rickshaw they were travelling in rolled into a 7ft-deep ditch near Manikapur under Gajapati district's R Udayagiri police station on Friday.,https://timesofindia.indiatimes.com/city/bhubaneswar/in-odisha-two-dead-10-injured-in-road-accident/articleshow/99681801.cms
9,Seven from West Bengal killed in Road accident in Odisha,Seven people from West Bengal died when a poultry van they were travelling in rammed into a stationary truck on Saturday morning at Neulipur Chhack on National High way-16 in Odisha's Jajpur district.,https://timesofindia.indiatimes.com/city/bhubaneswar/seven-from-west-bengal-killed-in-road-accident-in-oidhsa/articleshow/98229910.cms
10,"2 killed, 40 injured as tourist bus falls off bridge in Odisha's Dhenkanal",Two persons were killed and 40 others injured after a tourist bus fell off a bridge near Panchabati in Dhenkanal town on national highway-55 early on Monday morning.,https://timesofindia.indiatimes.com/city/bhubaneswar/2-killed-40-injured-as-tourist-bus-falls-off-bridge-in-odishas-dhenkanal/articleshow/97240944.cms
11,"Road accidents high, review safety steps: SC panel to Odisha CM Naveen Patnaik",The Supreme Court Committee on Road Safety has urged chief minister Naveen Patnaik to review the road safety scenario in Odisha in view of an alarming rise in accident fatalities in the state. The SC panel is likely to send some of its officials to the state in the next two weeks to inspect the compliance of its orders.,https://timesofindia.indiatimes.com/city/bhubaneswar/road-accidents-high-review-safety-steps-sc-panel-to-odisha-cm-naveen-patnaik/articleshow/96809035.cms
