sno,h,sub_h,link
1,Youth critically injured in Road accident,,https://timesofindia.indiatimes.com/city/ludhiana/youth-critically-injured-in-road-accident/articleshow/102066642.cms
2,74-yr-old man killed as bus rams scooter,,https://timesofindia.indiatimes.com/city/ludhiana/74-yr-old-man-killed-as-bus-rams-scooter/articleshow/102187033.cms
3,12 killed in Road accident in Pratapgarh,": At least 12 people, including four women and one kid, died and five others were injured when a speeding tanker hit and fell on an auto-rickshaw carrying 17 passengers near Sukhpal Nagar-Mohanganj road under Leelapur police station of Pratapgarh on Monday, police said.",https://timesofindia.indiatimes.com/city/allahabad/12-killed-in-road-accident-in-pratapgarh/articleshow/101650869.cms
4,Two youths killed in Road accident,,https://timesofindia.indiatimes.com/city/allahabad/two-youths-killed-in-road-accident/articleshow/101443930.cms
5,Minor boy killed in Road accident in Pratapgarh,,https://timesofindia.indiatimes.com/city/allahabad/minor-boy-killed-in-road-accident-in-pratapgarh/articleshow/100889422.cms
6,2 cops on night duty injured in Road accident,,https://timesofindia.indiatimes.com/city/ludhiana/2-cops-on-night-duty-injured-in-road-accident/articleshow/100980337.cms
7,"Property dealer, 1 other killed in Road accident",,https://timesofindia.indiatimes.com/city/allahabad/property-dealer-1-other-killed-in-road-accident/articleshow/100925824.cms
8,"21-year-old found dead, kin allege murder",,https://timesofindia.indiatimes.com/city/ludhiana/21-year-old-found-dead-kin-allege-murder/articleshow/101032977.cms
9,Couple killed in Road accident,,https://timesofindia.indiatimes.com/city/allahabad/couple-killed-in-road-accident/articleshow/100117413.cms
10,Four-year-old boy dies in Road accident in Punjab's Khanna,,https://timesofindia.indiatimes.com/city/ludhiana/four-year-old-boy-dies-in-road-accident-in-punjabs-khanna/articleshow/101223860.cms
11,"4 killed, 3 hurt in Road accident",Four persons including three women were killed and three others sustained injures in Road accident when tractor trolley carrying them jumped into a dry canal and turned turtle near Ghoogha village under limits of Koraon police station on Saturday night.,https://timesofindia.indiatimes.com/city/allahabad/4-killed-3-hurt-in-road-accident/articleshow/100580946.cms
