sno,h,sub_h,link
1,"2 killed, 3 injured as car crashes into culvert wall in Rajasthan's Alwar",Two people died while three others sustained injuries after the car they were travelling in crashed into the wall of a culvert on Wednesday night near Akbarpur in Rajasthan's Alwar district.,https://timesofindia.indiatimes.com/city/jaipur/2-killed-3-injured-as-car-crashes-into-culvert-wall-in-rajasthans-alwar/articleshow/101992538.cms
2,"2 kanwariyas die, 1 hurt in Road accident in Ajmer",,https://timesofindia.indiatimes.com/city/jaipur/2-kanwariyas-die-1-hurt-in-road-accident-in-ajmer/articleshow/102295218.cms
3,"4 die in Road accidents in Dausa, Tonk dists",Four people were killed and one was injured in two separate Road accidents in Dausa and Tonk districts late on Wednesday evening.,https://timesofindia.indiatimes.com/city/jaipur/4-die-in-road-accidents-in-dausa-tonk-dists/articleshow/101740567.cms
4,Five charred to death in Road accident in Jaipur,,https://timesofindia.indiatimes.com/city/jaipur/five-charred-to-death-in-road-accident-in-jaipur/articleshow/101344890.cms
5,"Five killed, 27 injured in three separate Road accidents in Rajasthan",Two people including a 6-year-old girl and a 30-year-old woman were killed and 19 others were injured when a Jugaad vehicle overturned after colliding with a truck.,https://timesofindia.indiatimes.com/city/jaipur/five-killed-27-injured-in-three-separate-road-accidents-in-state/articleshow/101408175.cms
6,Cut road mishap deaths 50% by 2030: Raj to dist task force,The state government has directed all the districts to form district road safety task forces to reduce Road accident mortalities.,https://timesofindia.indiatimes.com/city/jaipur/cut-road-mishap-deaths-50-by-2030-raj-to-dist-task-force/articleshow/101230829.cms
7,Pay ₹44L insurance to parents of doctor who died in mishap: Court,,https://timesofindia.indiatimes.com/city/jaipur/pay-44l-insurance-to-parents-of-doctor-who-died-in-mishap-court/articleshow/101149297.cms
8,2 women among 3 dead as SUV overturns in Barmer,,https://timesofindia.indiatimes.com/city/jaipur/2-women-among-3-dead-as-suv-overturns-in-barmer/articleshow/101121114.cms
9,U’khand mishap victims arriving in city today,,https://timesofindia.indiatimes.com/city/jaipur/ukhand-mishap-victims-arriving-in-city-today/articleshow/101057593.cms
10,Three of family killed in Road accident in Jaipur,,https://timesofindia.indiatimes.com/city/jaipur/three-of-family-killed-in-road-accident-in-jaipur/articleshow/100396175.cms
11,4 killed in 2 accidents in Bundi and Baran dists,,https://timesofindia.indiatimes.com/city/jaipur/4-killed-in-2-accidents-in-bundi-and-baran-dists/articleshow/100579505.cms
12,3 killed in fire following collision between two trailers in Rajasthan's Barmer,Three people were burnt alive in a fire that broke out after collision between two trailers under Gudamalani police station in Barmer district on Monday morning.,https://timesofindia.indiatimes.com/city/jaipur/3-killed-in-fire-following-collision-between-two-trailers-in-rajasthans-barmer/articleshow/99722338.cms
13,"Pay ₹44L to kin of ‘Queen Harish’ who died in accident 4 years ago, says court",,https://timesofindia.indiatimes.com/city/jaipur/pay-44l-to-kin-of-queen-harish-who-died-in-accident-4-years-ago-says-court/articleshow/100220942.cms
14,Two bike-borne cousins killed in Kota Road accident,,https://timesofindia.indiatimes.com/city/jaipur/two-bike-borne-cousins-killed-in-kota-road-accident/articleshow/100290984.cms
15,Brother of Kushalgarh MLA killed in Road accident,,https://timesofindia.indiatimes.com/city/jaipur/brother-of-kushalgarh-mla-killed-in-road-accident/articleshow/99718821.cms
16,"Three killed, six hurt in two separate Barmer accidents",Three persons died and six were injured in two Road accidents in Barmer district.,https://timesofindia.indiatimes.com/city/jaipur/three-killed-six-hurt-in-two-separate-barmer-accidents/articleshow/100025698.cms
17,Cops on way to search for missing girl hurt in Udaipur Road accident,Two police personnel were among seven persons injured in a Road accident on Gogunda-Pindwara national highway on Sunday.,https://timesofindia.indiatimes.com/city/udaipur/cops-on-way-to-search-for-missing-girl-hurt-in-udaipur-road-accident/articleshow/99549865.cms
18,4 killed in two Road accidents in Pali,,https://timesofindia.indiatimes.com/city/jodhpur/4-killed-in-two-road-accidents-in-pali/articleshow/99021795.cms
19,4 killed in two Road accidents in Pali district,"An army man, his wife, and mother-in-law died after their car rammed into a truck from behind past Friday midnight, while a husband and wife on a motorcycle were hit by a speeding unidentified car, leaving the man dead and the woman injured, in Pali district late on Friday evening. The injured woman is admitted at the Bangar hospital in Pali.",https://timesofindia.indiatimes.com/city/jodhpur/4-killed-in-two-road-accidents-in-pali-district/articleshow/99005385.cms
20,"5 of a family killed, 2 others injured in Road accident on Phalodi-Bikaner highway","Five persons were killed and two others injured in a fatal Road accident in Phalodi on Friday afternoon. The deceased include two children and one woman. Of the two injured, one of them who was in a serious condition was taken to Jodhpur.",https://timesofindia.indiatimes.com/city/jodhpur/5-of-a-family-killed-2-others-injured-in-road-accident-on-phalodi-bikaner-highway/articleshow/99159569.cms
21,"4 die in 2 Road accidents in Barmer district, 3 burnt to death","Four people died in two Road accidents in Barmer district on Monday, including three who got burnt alive after two trailers collided head-on on the mega highway in Alpura village near Gudamalani Aduram petrol pump around 4.30am on Monday.",https://timesofindia.indiatimes.com/city/jaipur/4-die-in-2-road-accidents-in-barmer-district-3-burnt-to-death/articleshow/99748256.cms
22,Five from Haryana killed after car collides with truck in Rajasthan's Sikar district,"Five people from Haryana died in a Road accident in Rajasthan's Sikar district while returning after offering prayer at Salasar temple near Sujangarh, police said on Monday.",https://timesofindia.indiatimes.com/city/jaipur/five-from-haryana-killed-in-road-accident-in-rajasthans-sikar-district/articleshow/97252560.cms
23,Girl drowns in Barmer; cleaner dies in Road accident,"A 13-yer-old girl drowned in a pond while making her cattle drink in Barmer on Tuesday. The victim has been identified as Laxmi. In another incident, a cleaner died and driver seriously injured in an accident between a trailer and a truck.",https://timesofindia.indiatimes.com/city/jaipur/girl-drowns-cleaner-dies-in-road-accident/articleshow/98322223.cms
24,Four killed in Road accident in Churu dist,A group of people were heading to a temple to pray after their wedding when their jeep collided with a truck. Four people died and four were injured.,https://timesofindia.indiatimes.com/city/jaipur/four-killed-in-road-accident-in-churu-dist/articleshow/97410300.cms
25,"Four persons killed in two Road accidents in Rajasthan's Dholpur, Churu","Four persons, including two siblings in Dholpur, were killed in two separate Road accidents in the state on Saturday evening. While a young boy and his sister, going for a wedding function at Dholpur's Sahajpur village, on a bike were hit fatally by a rashly-driven truck, two youths were killed when their scooter was hit by an SUV near Tara Nagar in Churu district.",https://timesofindia.indiatimes.com/city/jaipur/four-persons-killed-in-two-road-accidents-in-rajasthans-dholpur-churu/articleshow/97855793.cms
26,Jaipur: Man gets wife killed in 'Road accident' for Rs 2 crore insurance money,What initially appeared to be a hit-and-run case has turned out to be a cold-blooded murder plotted by a man eyeing his wife's insurance amount of nearly Rs 2 crore.,https://timesofindia.indiatimes.com/city/jaipur/jaipur-man-gets-wife-killed-in-road-accident-for-rs-2-crore-insurance-money/articleshow/95897902.cms
27,4 killed in 2 separate Road accidents in Rajasthan's Banswara,Four men were killed in two separate Road accidents in Rajasthan's Banswara district on Sunday. The accidents occurred in the Kararwadi police station area which also left four persons injured.,https://timesofindia.indiatimes.com/city/jaipur/4-killed-in-2-separate-road-accidents-in-rajasthans-banswara/articleshow/95337827.cms
28,"3 killed, 4 hurt in Hanumangarh Road accident","Jaipur, India has a head-on collision between a truck and a biketrolley. Four other people were injured. The deceased have been identified as Gurcharan Singh 22, Gurvinder Singh 23, and Bindar Singh 24. Seven people riding on the biketrolley were returning to Punjab after offering prayers at a temple. Poor visibility was a factor in the collision.",https://timesofindia.indiatimes.com/city/jaipur/3-killed-4-hurt-in-hanumangarh-road-accident/articleshow/96696728.cms
29,MBA student from Sitamarhi dies in Jaipur Road accident,A 22-year-old MBA student from Bihar was killed after his SUV rammed into railings on Mahal Road in Jaipur on Thursday.,https://timesofindia.indiatimes.com/city/jaipur/mba-student-from-sitamarhi-dies-in-jaipur-road-accident/articleshow/96824479.cms
30,5 die in bus-truck collision near Mathania in Jodhpur,Five persons died and about three dozen were injured in a head-on collision of a passenger bus and a truck near Mathania in Jodhpur on Friday afternoon. Three of them died on the spot while two others succumbed in the hospital in Jodhpur.,https://timesofindia.indiatimes.com/city/jodhpur/5-die-in-bus-truck-collision-near-mathania-in-jodhpur/articleshow/96807497.cms
31,Cremation of Army men killed in Sikkim today,"The three army men who died in a car accident in Sikkim on Friday were cremated on Saturday with military honors in their native villages. A retired army officer's elder brother who was in Sikkim at the time of the accident arrived in Jaisalmer, India, on Saturday night in a special plane. He said his brother was a brave soldier and had sacrificed his life for the country. The remains of another soldier who died in the accident also arrived in Jodhpur, India, on Saturday evening.",https://timesofindia.indiatimes.com/city/jaipur/cremation-of-army-men-killed-in-sikkim-today/articleshow/96489475.cms
32,3 from Rajasthan among 16 Army men who died in Sikkim road mishap,"Three people from Rajasthan, one each from Jaisalmer, Jhunjhunu, and Jodhpur, and thirteen other army personnel were killed when a truck carrying them fell into a gorge in Sikkim on Friday. Subedar Guman Singh from Jaisalmer district was among the dead. His family said at their home on Friday night that the army was yet to inform them about his death.",https://timesofindia.indiatimes.com/city/jaipur/3-from-raj-among-16-army-men-who-died-in-sikkim-road-mishap/articleshow/96469874.cms
33,"Three killed, 6 injured in separate Road accidents in Barmer district",Three persons were killed while six were injured in separate mishaps in Barmer late on Monday night. The deceased include two women from the same family. Five of the six injured persons are said to be critical.,https://timesofindia.indiatimes.com/city/jaipur/three-killed-6-injured-in-separate-road-accidents-in-barmer-district/articleshow/96725041.cms
34,"Jaipur: 38-year-old man, accused of getting his wife killed, witnessed accident","A day after a 38-year-old man was held for getting his wife killed with the help of three other suspects in a “Road accident,” for Rs 2 crore insurance money, the police found that the accused had also witnessed the crash from a distance.",https://timesofindia.indiatimes.com/city/jaipur/38-yr-old-man-accused-of-getting-his-wife-killed-witnessed-accident/articleshow/95927493.cms
35,Rs 2 crore aid pour in for family who lost parents in mishap in Barmer,"Following the death of parents of seven daughters and a son in a Road accident in Barmer on Sunday, financial assistance for the bereaved family poured in after appeal made by people from media and community members of the deceased family.",https://timesofindia.indiatimes.com/city/jaipur/2cr-aid-pour-in-for-family-who-lost-parents-in-mishap/articleshow/95615551.cms
36,Four pilgrims killed in Road accident in Rajasthan,"Four persons, including three women, were killed and two others injured when their car collided with a truck here, police said on Saturday. The accident occurred on the Sindhari-Sanchor highway under Gudamalani police station limits, they said.",https://timesofindia.indiatimes.com/city/jaipur/four-pilgrims-killed-in-road-accident-in-rajasthan/articleshow/94112001.cms
37,"Rajasthan: 4 killed, 3 injured in 2 Road accidents in Banswara district","Four persons were killed and three were injured in two separate Road accidents in Banswara district on Sunday morning. The first accident took place on Chotta Dungra-Jalipura road near Gujarat border when two bikes collided with each other. In the second accident, the bike rider rammed into a stationary vehicle just 200 meters away on the same road.",https://timesofindia.indiatimes.com/city/udaipur/rajasthan-4-killed-3-injured-in-2-road-accidents-in-banswara-district/articleshow/95344004.cms
38,"Rajasthan: 4 dead, 3 injured in collision between car, jeep in Dausa","Four people were killed and three injured in a head-on collision between a car and a jeep in Rajasthan's Dausa district on Tuesday, police said.",https://timesofindia.indiatimes.com/city/jaipur/rajasthan-4-dead-3-injured-in-collision-between-car-jeep-in-dausa/articleshow/92679611.cms
39,Rajasthan: Five killed as car rams into truck in Jalore,"Five people were killed after their car rammed into a truck parked on the roadside in Ahor area of Rajasthan's Jalore district, police said on Tuesday.",https://timesofindia.indiatimes.com/city/jodhpur/rajasthan-five-killed-as-car-rammed-into-truck-in-jalore/articleshow/92520603.cms
40,4 killed in separate Road accidents in Rajasthan,"Four people were killed in separate Road accidents in two districts of Rajasthan, police said.",https://timesofindia.indiatimes.com/city/jaipur/4-killed-in-separate-road-accidents-in-rajasthan/articleshow/93212985.cms
41,Four of family killed in Road accident in Rajasthan's Sikar,"Four members of a family were killed in a collision between a truck and a car in Laxmangarh Police Station area of Sikar district on Monday, police said.",https://timesofindia.indiatimes.com/city/jaipur/four-of-family-killed-in-road-accident-in-rajasthans-sikar/articleshow/93713839.cms
42,Bihar student in Kota among 5 killed in mishaps,"A 19-year-old engineering aspirant from Bihar's Bhagalpur was among the five people killed in three Road accidents in Bundi, Kota and Baran districts between Saturday evening and early Sunday morning.",https://timesofindia.indiatimes.com/city/jaipur/bihar-student-in-kota-among-5-killed-in-mishaps/articleshow/93843161.cms
43,Ramdevra fair: Officials take steps to avoid Road accidents,"To avoid the Road accidents enroute to Ramdevra Temple in Jaisalmer district, the administration has taken preventive measures. District collector Tina Dabi has asked to remove the stairs in vehicles with capacity of 12 and more with immediate effect till September 10.",https://timesofindia.indiatimes.com/city/jaipur/ramdevra-fair-officials-take-steps-to-avoid-road-accidents/articleshow/93685970.cms
44,"Rajasthan: Seven people killed in Road accidents in Sirohi, Nagaur districts",The deceased included a woman and a 10-year-old girl.,https://timesofindia.indiatimes.com/city/jaipur/rajasthan-seven-people-killed-in-road-accidents-in-sirohi-nagaur-districts/articleshow/94059379.cms
45,"Four Road accidents claim 13 lives in Rajasthan,including a 2-year-old","Thirteen people, including six pilgrims, were killed in Road accidents reported from different parts of the state on Friday.",https://timesofindia.indiatimes.com/city/jaipur/four-road-accidents-claim-13-lives-in-rajasthanincluding-a-2-year-old/articleshow/90872042.cms
46,"Four of marriage party killed in Rajasthan's Baran Road accident, 13 injured","At least four persons, including three women, were killed on the spot and 13 others injured after a tractor–trolley with around 18 to 20 members of a marriage party overturned after being hit by a trailer-truck from behind on NH-27 under Baran Sadar police station on Tuesday.",https://timesofindia.indiatimes.com/city/jaipur/4-of-marriage-party-killed-inbaran-road-accident-13-injured/articleshow/91478704.cms
47,"Rajasthan: 4 killed, 13 injured as tractor–trolley overturns in Baran",At least four people were killed while 13 others sustained injuries when a tractor–trolley carrying around 18-20 members of a marriage party overturned after being hit by a trailer truck on NH-27 in Baran on Tuesday morning.,https://timesofindia.indiatimes.com/city/jaipur/rajasthan-4-killed-13-injured-as-tractortrolley-overturns-in-baran/articleshow/91461492.cms
48,Three killed in Road accident in Bundi,Three persons were killed in two separate road mishaps on NH-52 in Hindoli police station area of Bundi and on Baran mega highway in Khanpur police station of Jhalawar on Sunday.,https://timesofindia.indiatimes.com/city/jaipur/three-killed-in-road-accident-in-bundi/articleshow/91244053.cms
49,"Four, including 3 of a family, killed in Road accident in Ajmer",,https://timesofindia.indiatimes.com/city/jaipur/four-including-3-of-a-family-killed-in-road-accident-in-ajmer/articleshow/93640223.cms
50,3 of Delhi family killed in Road accident in Rajasthan,"A couple and their 12-year-old daughter were killed in a Road accident in Rajasthan's Alwar district on Sunday they were returning home in Delhi after a trip to Sariska, police said.",https://timesofindia.indiatimes.com/city/jaipur/3-of-delhi-family-killed-in-road-accident-in-rajasthan/articleshow/91726996.cms
51,"Rajasthan: 5 killed, 10 injured in 3 separate Road accidents","Five people, including a couple, were killed and 10 others were injured in three separate Road accidents in Rajasthan, police said.",https://timesofindia.indiatimes.com/city/jaipur/rajasthan-5-killed-10-injured-in-3-separate-road-accidents/articleshow/92787591.cms
52,Three killed in Road accident in Rajsamand,"Three people were killed after a speeding vehicle hit a motorcycle in Nathdwara police station area of Rajasthan’s Rajsamand district, police said on Saturday.According to police, the vehicle rammed into a tree after hitting the motorcycle on the Udaipur-Nathdwara highway.",https://timesofindia.indiatimes.com/city/jaipur/three-killed-in-road-accident-in-rajsamand/articleshow/89694482.cms
53,Rajasthan: Groom among 9 killed as car falls into Chambal river in Kota,"Nine people, including a groom, were killed on the spot after a car carrying them fell into Chambal River from a lower bridge in Kota on Sunday morning.",https://timesofindia.indiatimes.com/city/jaipur/rajasthan-nine-killed-as-their-car-falls-into-chambal-river-in-kota/articleshow/89699678.cms
54,"Two Andhra tourists killed, 15 injured in Road accident","Two persons died and 15 persons were injured, all from the same family, when a minibus rammed into a stationary truck on Gogunda-Pindwara NH-27 near Akiyawad under Bakeriya police station on Friday night. The deceased were identified as Bharat (55) and his daughter Ankita (27).",https://timesofindia.indiatimes.com/city/udaipur/two-andhra-tourists-killed-15-injured-in-road-accident/articleshow/91879462.cms
55,Soldier killed in Road accident,An Indian Army soldier died on Saturday after he lost control over his motorcycle and rammed into a truck near the military Jalipa Cantt in Barmer.,https://timesofindia.indiatimes.com/city/jaipur/soldier-killed-in-road-accident/articleshow/88641001.cms
56,Youth dies in Road accident near Jaisalmer,"A truck carrying empty gas cylinders hit a car coming from Jodhpur near Bhojka village, around 35km from here, on Monday night. The car caught fire and a youth died in the accident. The truck was going to Jodhpur from Jaisalmer.",https://timesofindia.indiatimes.com/city/jaipur/youth-dies-in-road-accident-near-jaisalmer/articleshow/90385166.cms
57,"Rajasthan: 11 killed, seven injured in Road accident","Prime Minister Narendra Modi, Chief Minister Ashok Gehlot, Governor Kalraj Mishra and former CM Vasundhara Raje expressed grief over the incident.",https://timesofindia.indiatimes.com/city/jaipur/rajasthan-10-killed-8-hurt-as-jeep-rams-into-tractor-trolley-in-jhunjhunu/articleshow/90936181.cms
58,"Rajasthan: 8 dead including 2-year-old boy, 13 hurt in separate Road accidents",Eight persons were killed and 13 others were injured in two separate Road accidents in Nagaur and Ajmer late on Wednesday evening.,https://timesofindia.indiatimes.com/city/jaipur/8-dead-including-2-yr-old-boy-13-hurt-in-separate-road-accidents/articleshow/94108910.cms
59,Two brothers killed in Kota Road accident,"Two brothers were killed after a speeding truck hit their bike near the Kota Thermal Power Station gate under Kunhari police station on Wednesday night. The deceased were identified as Praveen (23) and Hement (22), residents of Delunda village in Bundi district.",https://timesofindia.indiatimes.com/city/jaipur/two-brothers-killed-in-kota-road-accident/articleshow/90137341.cms
60,Rajasthan: Four of a family killed in Abu Road accident,"According to police, the accident took place when the car of victims broke down near Kiwarli village under Abu Road Sadar police station on Tuesday night while they were on the way back to their home.",https://timesofindia.indiatimes.com/city/jodhpur/rajasthan-four-of-a-family-killed-in-abu-road-accident/articleshow/91505275.cms
61,"Two killed, two hurt in Barmer Road accident",Two people were killed and two others sustained injuries after an SUV was hit by an unidentified vehicle on Saturday night on the border of Sammon ki dhani in the Sedwa police station area of Barmer district.,https://timesofindia.indiatimes.com/city/jaipur/two-killed-two-hurt-in-barmer-road-accident/articleshow/90482479.cms
62,Rajasthan: Car runs over family of three sleeping on footpath in Kota; one dead,"A speeding car ran over three members of a family sleeping on a footpath outside the MBS Hospital here in the early hours of Friday, killing one of them, police said. Dinesh Bawariya (45), a vegetable vendor, died on the spot, while his wife and their seven-year-old son are undergoing treatment for critical injuries, the area's DSP, Kaluram Verma, said.",https://timesofindia.indiatimes.com/city/jaipur/rajasthan-car-runs-over-family-of-three-sleeping-on-footpath-in-kota-one-dead/articleshow/90865984.cms
63,"Rajasthan: Six dead, three injured in passenger vehicle-truck collision in Jodhpur",At least six pilgrims were killed and three sustained injuries after the vehicle they were travelling in rammed into a truck near Bhavi in Jodhpur's Bilara area late on Friday night.,https://timesofindia.indiatimes.com/city/jodhpur/rajasthan-six-dead-three-injured-in-passenger-vehicle-truck-collision-in-jodhpur/articleshow/90859908.cms
64,"Rajasthan: 2 killed, 8 injured in car collision in Jaisalmer village","Two persons were killed and eight others injured in a collision between two cars in Rajasthan's Jaisalmer district on Friday, police said.",https://timesofindia.indiatimes.com/city/jodhpur/rajasthan-2-killed-8-injured-in-car-collision-in-jaisalmer-village/articleshow/88618301.cms
65,Rajasthan: 3 of family killed in Road accident,"Three persons of a family were killed on Thursday morning in a Road accident when their Bolero collided with a trailer on Barmer mega highway. According to police, the family, residents of Gudamalani in Barmer met with the accident while on their way to Jasol Mata temple.",https://timesofindia.indiatimes.com/city/jaipur/3-of-family-killed-in-road-accident/articleshow/89335104.cms
66,"8 of family, including 2 kids,killed in Barmer Road accident in Jaisalmer","Eight members of a family, including two children, were killed and two seriously injured in a Road accident in Barmer when the family was going to take part in a wedding function late Monday night.",https://timesofindia.indiatimes.com/city/jaipur/8-of-family-including-2-kidskilled-in-barmer-road-accident/articleshow/92068689.cms
67,Three killed in two accidents in Jaipur,"Three persons including two women were killed in two different accidents in Jaipur on Friday.According to the accident police station (west), the first mishap took place near an express highway in the Murlipura area where a speeding pick-up vehicle mowed down two women.",https://timesofindia.indiatimes.com/city/jaipur/three-killed-in-two-accidents-in-jaipur/articleshow/90451126.cms
68,"Bank officer, mom and sister die in Road accident","A senior bank officer, his mother and sister died in a fatal Road accident on Jodhpur-Jaisalmer highway on Monday. The mishap occurred when his car had a head-on collision with another vehicle.",https://timesofindia.indiatimes.com/city/jodhpur/bank-officer-mom-and-sister-die-in-road-accident/articleshow/89759615.cms
69,5 killed and 3 injured in 3 separate Road accidents,Five persons were killed and three others were injured in three separate Road accidents in the state since late Friday evening. In all the accidents the deceased were on two-wheelers.,https://timesofindia.indiatimes.com/city/jaipur/5-killed-and-3-injured-in-3-separate-road-accidents/articleshow/90467506.cms
70,Rajasthan: 3 killed in Road accident in Rajsamand district,,https://timesofindia.indiatimes.com/city/jaipur/rajasthan-3-killed-in-road-accident-in-rajsamand-district/articleshow/89685398.cms
71,"Three killed, four injured in two Road accidents","Three persons were killed and four others were injured in two separate Road accidents in Nagaur and Pali districts. According to police, two persons were killed in a head-on collision between two cars in Nagaur on National Highway-62 during early hours on Monday.",https://timesofindia.indiatimes.com/city/jaipur/three-killed-four-injured-in-two-road-accidents/articleshow/89416346.cms
72,Two killed in separate Road accidents in Barmer dist,"Two persons died in two separate Road accidents in Barmer. According to Chauhatan police, a family travelling from Barmer to Chauhatan met with an accident when their car fell from an under-construction bridge at Ranigaon due to poor visibility.",https://timesofindia.indiatimes.com/city/jaipur/two-killed-in-separate-road-accidents-in-barmer-dist/articleshow/89258590.cms
73,"Ajmer: One dead, 11 hurt in Road accident",A vehicle collided with a truck trailer on Ajmer-Kota road on Friday morning in which one person died while 11 others were injured. The injured were taken to Kekeri hospital.,https://timesofindia.indiatimes.com/city/ajmer/ajmer-one-dead-11-hurt-in-road-accident/articleshow/89052558.cms
74,Four dead in Road accident in Rajasthan's Dausa,"Four people died in an accident between a jeep and a motorcycle on Saturday in Rajasthan's Dausa district, police said.",https://timesofindia.indiatimes.com/city/jaipur/four-dead-in-road-accident-in-rajasthans-dausa/articleshow/88229549.cms
75,"Rajasthan: Man, 5-year-old son die as SUV crashes into school van in Tonk","A 30-year-old man and his five-year-old child were killed while four other students got injured on Friday, when a speeding SUV collided with the school van in which they were travelling in Nagar Fort area in Tonk district, police said.",https://timesofindia.indiatimes.com/city/jaipur/rajasthan-man-5-year-old-son-die-as-suv-crashes-into-school-van-in-tonk/articleshow/86864413.cms
76,Rajasthan: Four killed in Road accident,In a bizarre accident four friends travelling to Bihar from Sikar were killed after their vehicle was crushed between two trucks near Manoharpur on Monday. One of the friends is critical. The friends had got a tender to issue FastTag in Bihar.,https://timesofindia.indiatimes.com/city/jaipur/four-killed-in-road-accident/articleshow/86183712.cms
77,"Rajasthan: 2 of family charred to death, 2 others get critical burns in Road accident",A 38-year-old man and his two-and-a-half-year-old nephew were charred to death and two others of the family suffered critical burns after the car they were travelling in hit a wall and caught fire in the Baran district near here.,https://timesofindia.indiatimes.com/city/jaipur/rajasthan-2-of-family-charred-to-death-2-others-get-critical-burns-in-road-accident/articleshow/91447903.cms
78,Rajasthan: Three dead in Road accident in Bharatpur,"Three people died after being hit by a speeding car in Rajasthan's Bharatpur district on Saturday, police said.",https://timesofindia.indiatimes.com/city/jaipur/rajasthan-three-dead-in-road-accident-in-bharatpur/articleshow/87060954.cms
79,"Rajasthan: 4 from Madhya Pradesh charred to death, 3 injured in Road accident","Four people were charred to death, all of them from Madhya Pradesh, and three injured as two cars caught fire following a head-on collision in Jhalawar district of Rajasthan, police said on Thursday.",https://timesofindia.indiatimes.com/city/jaipur/rajasthan-4-from-madhya-pradesh-charred-to-death-3-injured-in-road-accident/articleshow/90710213.cms
80,"Rajasthan: Six killed, 25 hurt in separate Road accidents","Six people, including a woman and a child, were killed and 30 others were injured in three separate Road accidents in Rajasthan on Thursday.",https://timesofindia.indiatimes.com/city/jaipur/rajasthan-six-killed-25-hurt-in-separate-road-accidents/articleshow/88323272.cms
81,Five killed in accident in Rajasthan's Alwar,"Five people were killed and three others injured on Sunday when a truck collided head-on with a car in Rajasthan's Alwar district, police said.",https://timesofindia.indiatimes.com/city/jaipur/five-killed-in-accident-in-rajasthans-alwar/articleshow/85347724.cms
82,10k people died in 20k Road accidents in Rajasthan last year: Report,"The transport department, which has been rattled following a spate of fatal accidents, has been directed to take some tough measures to prevent such incidents by strict enforcement of traffic rules.",https://timesofindia.indiatimes.com/city/jaipur/10k-people-died-in-20k-road-accidents-last-year-report/articleshow/90967562.cms
83,30-year-old army man killed in Road accident,,https://timesofindia.indiatimes.com/city/jaipur/30-year-old-army-man-killed-in-road-accident/articleshow/88173547.cms
84,"4 Gujarat cops, theft suspect killed in Road accident on Jaipur outskirts",Four policemen from Gujarat and a man arrested on suspicion of theft were killed after their vehicle rammed into a tree near Delhi-Jaipur highway on the outskirts of Jaipur.,https://timesofindia.indiatimes.com/city/jaipur/4-gujarat-cops-theft-suspect-killed-in-road-accident-on-jaipur-outskirts/articleshow/89584104.cms
85,"Rajasthan: Bike stunt turns fatal in Kota, 2 killed, 1 injured","Two people were killed and one other got critically injured in Kota district, when the bike they were riding went out of control and crashed against a divider, police said on Friday.",https://timesofindia.indiatimes.com/city/jaipur/rajasthan-bike-stunt-turns-fatal-in-kota-2-killed-1-injured/articleshow/87669199.cms
86,Rajasthan: Road accident in Jaisalmer leaves five people dead,"A speeding car overturned and fell into a roadside ditch in Rajasthan's Jaisalmer district on Sunday, leaving five people dead, police said.",https://timesofindia.indiatimes.com/city/jaipur/rajasthan-road-accident-in-jaisalmer-leaves-five-people-dead/articleshow/87566749.cms
87,"Rajasthan: Three killed in Road accident in Rajsamand district, say Police",Three men were killed and six others injured when the pick-up van in which they were travelling collided head-on with a truck in Rajsamand district of Rajasthan on Monday.,https://timesofindia.indiatimes.com/city/jaipur/rajasthan-three-killed-in-road-accident-in-rajsamand-district-say-police/articleshow/88004037.cms
88,"Five children, returning from school, killed in Jalore Road accident",Five children died in a fatal Road accident when a speeding SUV ran over them at Raniwara in Jalore on Wednesday evening. All of them were walking back home from school.,https://timesofindia.indiatimes.com/city/jodhpur/5-children-returning-from-schoolkilled-in-jalore-road-accident/articleshow/81677388.cms
89,7-month-old among three killed in Sikar Road accident,,https://timesofindia.indiatimes.com/city/jaipur/7-month-old-among-three-killed-in-sikar-road-accident/articleshow/87594194.cms
90,"Rajasthan: 12 killed, 6 injured as cruiser collides with truck in Nagaur","As many as eleven people were killed and seven others sustained injuries after a cruiser collided with a truck in Nagaur, Rajasthan on Tuesday morning.",https://timesofindia.indiatimes.com/city/jaipur/rajasthan-11-killed-7-injured-as-cruiser-collides-with-truck-in-nagaur/articleshow/85787498.cms
