sno,h,sub_h,link
1,Two dead as bus hits bike at Hakimpet,,https://timesofindia.indiatimes.com/city/hyderabad/two-dead-as-bus-hits-bike-at-hakimpet/articleshow/101426892.cms
2,4 of family killed as truck hits car,,https://timesofindia.indiatimes.com/city/hyderabad/4-of-family-killed-as-truck-hits-car/articleshow/101266401.cms
3,Woman killed as speeding car rams into pole,,https://timesofindia.indiatimes.com/city/hyderabad/woman-killed-as-speeding-car-rams-into-pole/articleshow/101120641.cms
4,2 Hyd students killed in Saudi Road accident,,https://timesofindia.indiatimes.com/city/hyderabad/2-hyd-students-killed-in-saudi-road-accident/articleshow/101005998.cms
5,5 dead in 3 separate Road accidents in Hanamkonda,Five persons were killed in three separate incidents in Hanamkonda district on Friday.,https://timesofindia.indiatimes.com/city/hyderabad/5-dead-in-3-separate-road-accidents-in-hanamkonda/articleshow/100893289.cms
6,2 killed as bike hits divider in Jagtial dist,,https://timesofindia.indiatimes.com/city/hyderabad/2-killed-as-bike-hits-divider-in-jagtial-dist/articleshow/100753494.cms
7,Biker killed in Road accident in Telangana,"One person died in a Road accident on the bypass road in Shadnagar on Sunday after his bike hit a car. Police said that the biker was travelling from JP Dargah to Shadnagar, when he hit a car.",https://timesofindia.indiatimes.com/city/hyderabad/biker-killed-in-road-accident/articleshow/99898366.cms
8,Engg student dies in Road accident,,https://timesofindia.indiatimes.com/city/hyderabad/engg-student-dies-in-road-accident/articleshow/99801596.cms
9,PG student dies in Road accident at Nacharam in Telangana,A 23-year-old postgraduate student from Hema Nagar in Boduppal died when her scooter was hit by a van at Nacharam on Tuesday.,https://timesofindia.indiatimes.com/city/hyderabad/pg-student-dies-in-road-accident/articleshow/100116873.cms
10,Food delivery executive killed in Road accident in Telangana,A food delivery executive was killed and another person suffered injuries when a car went amok at Dairy Farm Road in Alwal on Wednesday night.,https://timesofindia.indiatimes.com/city/hyderabad/food-delivery-executive-killed-in-road-accident-in-telangana/articleshow/99985887.cms
11,School teacher dies in accident,,https://timesofindia.indiatimes.com/city/hyderabad/school-teacher-dies-in-accident/articleshow/99160242.cms
12,"Car rams into container, four dead in Nizamabad",,https://timesofindia.indiatimes.com/city/hyderabad/car-rams-into-container-four-dead-in-nizamabad/articleshow/98619698.cms
13,Pillion rider dies in Road accident,"One brother died in a bike accident, and the other brother survived with injuries. The injured brother was taken to the hospital.",https://timesofindia.indiatimes.com/city/hyderabad/pillion-rider-dies-in-road-accident/articleshow/96656436.cms
14,"Techie lands in Hyderabad from US, dies in crash on way home",A USA-returned software professional died in a Road accident while returning home in Guntur on Sunday. The incident occurred after the car in which he was travelling hit a railing.,https://timesofindia.indiatimes.com/city/hyderabad/techie-lands-in-hyderabad-from-us-dies-in-crash-on-way-home/articleshow/97427284.cms
15,Road accidents at staggered junctions highest in Hyderabad,"Hyderabad is way ahead of the rest when it comes to accidents and deaths at staggered junctions. As per data, the city recorded 1,050 Road accidents at these intersections — 73% more than Jabalpur which comes in at second place.",https://timesofindia.indiatimes.com/city/hyderabad/road-accidents-at-staggered-junctions-highest-in-hyderabad/articleshow/96610147.cms
16,22-yr-old dies in accident,Hyderabad: A 22-year-old man died in a Road accident after his bike hit a road divider at AS Rao Nagar on Sunday. His friend was also injured in the accident and is undergoing treatment. Kushaiguda police said that the victim died on the spot. Police has started a probe.TNN,https://timesofindia.indiatimes.com/city/hyderabad/22-yr-old-dies-in-accident/articleshow/95842327.cms
