sno,h,sub_h,link
1,Four of family dead in Bijnor Road accident,Four members of a family were killed and two others sustained injuries when the auto-rickshaw they were travelling in was hit by an unidentified vehicle in Bijnor district late Monday night.,https://timesofindia.indiatimes.com/city/meerut/four-of-family-dead-in-bijnor-road-accident/articleshow/102120657.cms
2,4 killed as bus hits e-rickshaw on Ayodhya road,Four persons were killed and five others sustained injuries after an Uttar Pradesh State Roads Transport Corporation (UPSRTC) bus hit an e-rickshaw from the rear on Barabanki-Ayodhya highway in Barabanki on Wednesday.,https://timesofindia.indiatimes.com/city/lucknow/4-killed-as-bus-hits-e-rickshaw-on-ayodhya-road/articleshow/101970187.cms
3,"Nine dead, seven injured in Road accident in UP's Pratapgarh","Nine persons were killed and seven others injured in the Lilapur area here on Monday afternoon when a gas tanker overturned and hit the tempo van they were travelling in, police said.",https://timesofindia.indiatimes.com/city/lucknow/nine-dead-seven-injured-in-road-accident-in-ups-pratapgarh/articleshow/101644720.cms
4,2 food delivery boys killed in accident near Ekana Stadium,,https://timesofindia.indiatimes.com/city/lucknow/2-food-delivery-boys-killed-in-accident-near-ekana-stadium/articleshow/102334701.cms
5,"7, including one-month old infant, die in 2 separate accidents in Bareilly & Sambhal","Seven people died in two separate Road accidents in Bareilly and Sambhal districts on Sunday. In the first incident, four members of a family, including two minor children, were on their way back home in Sambhal’s Naroli area when their bike was hit by a speeding UP roadways bus.",https://timesofindia.indiatimes.com/city/bareilly/7-including-one-month-old-infant-die-in-2-separate-accidents-in-bareilly-sambhal/articleshow/102295639.cms
6,Assistant review officer dies in Road accident in Lucknow,A 50-year-old assistant review officer died in a Road accident which took place in Lucknows Hussainganj police station area on Tuesday afternoon. The entire incident was caught in the CCTV and cops were tracing the accused.,https://timesofindia.indiatimes.com/city/lucknow/assistant-review-officer-dies-in-road-accident-in-lucknow/articleshow/101317556.cms
7,3 farmers killed in Road accident in Lalitpur,Three farmers died and two others were injured when a tractor in which they were travelling lost its control and slipped into a roadside trench in Lalitpur district on Tuesday.,https://timesofindia.indiatimes.com/city/kanpur/3-farmers-killed-in-road-accident-in-lalitpur/articleshow/101505287.cms
8,29 injured as bus overturns on Agra-Lucknow Expressway,At least 29 people were injured after a private sleeper bus in which they were travelling overturned on Agra-Lucknow Expressway in Etawah district on Thursday morning.,https://timesofindia.indiatimes.com/city/kanpur/29-injured-as-bus-overturns-on-agra-lucknow-expressway/articleshow/101182858.cms
9,Asst review officer dies in Road accident,A 50-year-old assistant review officer died in a Road accident in Hussainganj police station area on Tuesday afternoon.,https://timesofindia.indiatimes.com/city/lucknow/asst-review-officer-dies-in-road-accident/articleshow/101322264.cms
10,Couple killed as mini truck rams into bike,A 35-year-old man and his 30-year-old wife were killed in a Road accident near Sihol village of Palwal on Thursday night.,https://timesofindia.indiatimes.com/city/gurgaon/couple-killed-as-mini-truck-rams-into-bike/articleshow/101586242.cms
