sno,h,sub_h,link
1,2 of family killed in Road accident,"Two out of seven of a family lost their lives, while the five others sustained injuries after their car lost control and fell into a gorge near Ghatgarh in Nainital late on Saturday. The SDRF rushed the injured to the hospital.",https://timesofindia.indiatimes.com/city/dehradun/2-of-family-killed-in-road-accident/articleshow/101842810.cms
2,Three kanwariyas killed in Roorkee Road accident,"Three kanwariyas on their way to Delhi after fetching holy water from Haridwar, were killed after the motorbike they were travelling on collided with an oil tanker on Roorke-Manglaur (bypass) national highway near Roorkee on Sunday morning.",https://timesofindia.indiatimes.com/city/dehradun/three-kanwariyas-killed-in-roorkee-road-accident/articleshow/102065587.cms
3,"Kanwariya, 22, killed in Road accident","A 22-year-old kanwariya lost his life in a collision between a speeding truck and the bike he was riding while en route to Haridwar to collect Gangajal. His friend, who was riding pillion, sustained severe injuries. The deceased has been identified as Badal Singh, a resident of Subhash Colony in Rudrapur.",https://timesofindia.indiatimes.com/city/dehradun/kanwariya-22-killed-in-road-accident/articleshow/101651175.cms
4,"72 dead in natural disasters, Road accidents since June 15","As many as 72 people have been killed in natural disasters and Road accidents since the start of rains this year (June 15) in Uttarakhand, state government data has revealed.",https://timesofindia.indiatimes.com/city/dehradun/72-dead-in-natural-disasters-road-accidents-since-june-15/articleshow/102185759.cms
5,"Couple, 10-year-old girl killed in Road accident in Haridwar","Three persons, including a 10-year-old girl, were killed in a Road accident near Motichor flyover falling under Railwala police station on Wednesday. According to police, they were returning from Rishikesh, when a Uttarakhand roadways bus hit the bike they were riding, from behind.",https://timesofindia.indiatimes.com/city/dehradun/couple-10-year-old-girl-killed-in-road-accident-in-haridwar/articleshow/99796284.cms
6,"Man, brother killed in Tehri Road accident","Two brothers - one of them was to get married on May 1 - were killed and two others critically injured when a car they were travelling in fell into a 100-meter-deep gorge in Tehri Garhwal on Monday, police said. They were going to Rishikesh from Tehri Garhwal to shop for the marriage. Amit Singh, 30 and Vikas Singh, 38 - both residents of Mundala village - were killed, while Girdhari Lal, 60 and his granddaughter Meenakshi, 25 - resident of Nai village - were admitted to AIIMS Rishikesh.",https://timesofindia.indiatimes.com/city/dehradun/man-brother-killed-in-tehri-road-accident/articleshow/99744702.cms
7,"3-year-old girl, dad killed in road mishap in Udham Singh Nagar",A man and his three-year-old daughter lost their lives while his wife was seriously injured in a tragic Road accident near Poliganj in Khatima town of Udham Singh Nagar district on Saturday evening.,https://timesofindia.indiatimes.com/city/dehradun/3-year-old-girl-dad-killed-in-road-mishap-in-udham-singh-nagar/articleshow/99879041.cms
8,"Two dead, 38 injured after bus falls into gorge on Mussoorie-Dehradun road in Uttarakhand","A woman and her daughter died and 38 others were wounded on Sunday after a Uttarakhand Roadways bus fell into a deep gorge on Mussoorie-Dehradun road, police said.",https://timesofindia.indiatimes.com/city/dehradun/two-dead-38-injured-after-bus-falls-into-gorge-on-mussoorie-dehradun-road/articleshow/99189353.cms
9,2 dead in head-on collision of bikes at Mahuadabra road,Two persons were killed and one was injured in a head-on collision of two bikes on Wednesday morning at Mahuadabra road of Jaspur town in Udham Singh Nagar district.,https://timesofindia.indiatimes.com/city/dehradun/2-dead-in-head-on-collision-of-bikes-at-mahuadabra-road/articleshow/97751112.cms
10,"Four killed, eight injured in separate Road accidents in Uttarakhand","Four persons were killed, including two women, and eight were injured after two four-wheelers fell into a gorge in separate accidents in Chamoli and Pauri Garhwal districts.",https://timesofindia.indiatimes.com/city/dehradun/four-killed-eight-injured-in-separate-road-accidents-in-uttarakhand/articleshow/96015754.cms
