sno,h,sub_h,link
1,"Kolkata: Stolen bus rams car on VIP Road, 3 of family killed","A stolen private bus that was being chased by cops and some bus owners crashed into a car waiting at the Lake Town traffic signal on VIP road, killing a 54-year-old businessman, his 23-year-old son and 73-year-old mother at 3am on Monday.",https://timesofindia.indiatimes.com/city/kolkata/stolen-bus-rams-car-on-vip-rd-3-of-family-killed/articleshow/101291765.cms
2,Nine injured in accidents,,https://timesofindia.indiatimes.com/city/kolkata/nine-injured-in-accidents/articleshow/101623528.cms
3,Dy CMOH nodal officer for Road accident data,,https://timesofindia.indiatimes.com/city/kolkata/dy-cmoh-nodal-officer-for-road-accident-data/articleshow/101407903.cms
4,Kol sees 33% drop in fatal accidents from Jan to June,"The roads of Kolkata have witnessed a 33% drop in fatal accidents in the first six months of this year as compared to the same period in 2022, according to the data released by Kolkata Traffic Police on Monday.",https://timesofindia.indiatimes.com/city/kolkata/kol-sees-33-drop-in-fatal-accidents-from-jan-to-june/articleshow/101471810.cms
5,Surgery helps teen see weeks after he lost sight in ‘one in a million’ injury,"Ankaj Kumar, 18, had survived a Road accident last month but when he regained consciousness, he was distressed to find that he could not see. He had lost vision in both the eyes. Now, a month later, the teenager from Darbhanga has got his vision back after a complex surgery in a Kolkata hospital.",https://timesofindia.indiatimes.com/city/kolkata/surgery-helps-teen-see-weeks-after-he-lost-sight-in-one-in-a-million-injury/articleshow/101378903.cms
6,Three bike accidents every day this May on Kolkata’s roads,"There have been three bike accidents per day so far this month, which translates to 58% of total accidents that took place on city roads, data collated by Lalbazar has revealed.",https://timesofindia.indiatimes.com/city/kolkata/three-bike-accidents-every-day-this-may-on-kolkatas-roads/articleshow/100433747.cms
7,Biker on way to Kol from Ranchi dies in highway accident,,https://timesofindia.indiatimes.com/city/kolkata/biker-on-way-to-kol-from-ranchi-dies-in-highway-accident/articleshow/100925412.cms
8,8 hurt in Elgin Road accident in Kolkata,"Eight people were injured — one of them seriously — after the car they were travelling in rammed into a tree on Elgin Road, Bhowanipore early on Friday.",https://timesofindia.indiatimes.com/city/kolkata/8-hurt-in-elgin-road-accident/articleshow/99506713.cms
9,"Four killed as SUV hits bike, truck in Kolkata",Four persons were killed in an accident on VIP Road in Kolkata when a compact SUV rammed into a truck after running over two bikers in the wee hours of Monday.,https://timesofindia.indiatimes.com/city/kolkata/four-killed-as-suv-hits-bikers-truck-on-vip-road-in-kolkata/articleshow/99376226.cms
10,16-year-old among 2 dead in Kolkata's Dufferin Road bus accident,"A 16-year-old and another unidentified person were killed and 17 others injured - one of them critically - after a minibus reportedly turned on its side and fell on a motorcycle coming from the opposite direction. The bus also hit two more bikes, said cops. The accident was reported around 4.38pm on Saturday on the busy Dufferin Road, opposite the Gandhi statue, barely meters from the Mayo Road crossing",https://timesofindia.indiatimes.com/city/kolkata/16-year-old-among-2-dead-in-kolkatas-dufferin-road-bus-accident/articleshow/99180702.cms
11,Kolkata cops' helmet-seat belt drive to stop accidents,"The Kolkata Traffic Police is launching a special campaign on the correct usage of helmets and seat belts to prevent fatal accidents. The drive will begin on Monday (March 20), which is observed as the World Head Injury Awareness Day.",https://timesofindia.indiatimes.com/city/kolkata/kolkata-cops-helmet-seat-belt-drive-to-stop-accidents/articleshow/98764295.cms
12,4 dead as car with marriage party on board falls from bridge in West Bengal's Kalimpong,"Four people were killed and several others injured on Saturday after a speeding car with a marriage party on board fell from a bridge in West Bengal's Kalimpong district, police said.",https://timesofindia.indiatimes.com/city/kolkata/4-dead-as-car-with-marriage-party-on-board-falls-from-bridge-in-west-bengals-kalimpong/articleshow/97398846.cms
13,8 killed in separate Road accidents involving motorcycles on Dol Jatra in Howrah,,https://timesofindia.indiatimes.com/city/kolkata/8-killed-in-separate-road-accidents-involving-motorcycles-on-dol-jatra-in-howrah/articleshow/98499270.cms
